prodcode,prodname,ace
67789,perindopril erbumine 2mg tablets (accord healthcare ltd),1
67795,lisinopril 20mg tablets (almus pharmaceuticals ltd),1
68021,perindopril erbumine 4mg tablets (alliance healthcare (distribution) ltd),1
68094,lisinopril 5mg tablets (sigma pharmaceuticals plc),1
68192,ramipril 5mg capsules (brown & burk uk ltd),1
68247,lisinopril 5mg tablets (bristol laboratories ltd),1
68372,ramipril 5mg tablets (actavis uk ltd),1
68381,perindopril erbumine 4mg tablets (mawdsley-brooks & company ltd),1
68480,ramipril 10mg capsules (mawdsley-brooks & company ltd),1
68496,enalapril 10mg tablets (kent pharmaceuticals ltd),1
68759,perindopril erbumine 2mg tablets (aurobindo pharma ltd),1
69016,perindopril erbumine 8mg tablets (de pharmaceuticals),1
69074,lisinopril 20mg tablets (relonchem ltd),1
69192,captopril oral solution,1
69269,lisinopril 20mg tablets (waymade healthcare plc),1
69288,ramipril 10mg capsules (brown & burk uk ltd),1
69599,captopril 500micrograms/5ml oral suspension,1
69600,captopril 1mg/5ml oral suspension,1
70072,ramipril 1.25mg capsules (mawdsley-brooks & company ltd),1
