prodcode,prodname,antiplat
47217,Adipine la 60mg Modified-release tablet (Chiesi Ltd),1
47222,Verapamil 120mg modified-release tablets (A A H Pharmaceuticals Ltd),1
47230,Verapamil 240mg modified-release tablets (Teva UK Ltd),1
47285,Nifedipine xl 60mg Tablet (Hillcross Pharmaceuticals Ltd),1
47331,Lercanidipine 10mg tablets (Mylan Ltd),1
47415,Diltiazem sr 60mg Capsule (Hillcross Pharmaceuticals Ltd),1
47467,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 5mg + 25mg Tablet,1
47529,Nifedipine 20mg/ml oral drops,1
47530,Horizem SR 60mg capsules (Horizon lifecare),1
47573,Sevikar HCT 40mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
47608,Zemret 300 XL capsules (Tillomed Laboratories Ltd),1
47614,Nifedipine 30mg modified-release tablets (A A H Pharmaceuticals Ltd),1
47616,Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd),1
47707,Nifedipine Oral solution,1
47724,Bi-Carzem XL 240mg capsules (Tillomed Laboratories Ltd),1
47727,Sevikar HCT 40mg/5mg/25mg tablets (Daiichi Sankyo UK Ltd),1
47732,Zemret 180 XL capsules (Tillomed Laboratories Ltd),1
47887,Nimodrel XL 60mg tablets (Zurich Pharmaceuticals),1
48009,Felodipine 5mg Modified-release tablet (Sandoz Ltd),1
48272,Diltiazem 60mg modified-release capsules (Alliance Healthcare (Distribution) Ltd),1
48282,Diltiazem 90mg modified-release capsules (A A H Pharmaceuticals Ltd),1
48288,Diltiazem 120mg modified-release capsules (A A H Pharmaceuticals Ltd),1
48457,Diltiazem 90mg modified-release capsules (Alliance Healthcare (Distribution) Ltd),1
48870,Adizem-SR 90mg capsules (DE Pharmaceuticals),1
49001,Diltiazem 120mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),1
49289,Diltiazem 120mg modified-release capsules (Alliance Healthcare (Distribution) Ltd),1
49338,Nifedipine 20mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),1
49390,Diltiazem 90mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),1
49636,Amlodipine 10mg tablets (DE Pharmaceuticals),1
49762,Nifedipine 10mg modified-release tablets (Alliance Healthcare (Distribution) Ltd),1
51261,Tildiem Retard 120mg tablets (Mawdsley-Brooks & Company Ltd),1
51461,Securon SR 240mg tablets (Waymade Healthcare Plc),1
51917,Adalat LA 60 tablets (Sigma Pharmaceuticals Plc),1
52017,Adalat LA 30 tablets (Mawdsley-Brooks & Company Ltd),1
52276,Adizem-XL 180mg capsules (DE Pharmaceuticals),1
52440,Amlodipine 10mg/5ml oral solution,1
52701,Tildiem LA 200 capsules (Mawdsley-Brooks & Company Ltd),1
52728,Beta-Adalat modified-release capsules (Lexon (UK) Ltd),1
53220,Sevikar HCT 40mg/10mg/25mg tablets (Daiichi Sankyo UK Ltd),1
53278,Adalat LA 30 tablets (Necessity Supplies Ltd),1
53357,Nifedipine 10mg/5ml oral suspension,1
53500,Adalat LA 30 tablets (DE Pharmaceuticals),1
53629,Adalat retard 20mg tablets (Lexon (UK) Ltd),1
53868,Amlodipine 5mg tablets (Actavis UK Ltd),1
53990,Nifedipine 5mg/5ml oral suspension,1
54515,Amlodipine 10mg tablets (Alliance Healthcare (Distribution) Ltd),1
54633,Amlodipine 5mg tablets (Bristol Laboratories Ltd),1
54654,Amlodipine 10mg tablets (Almus Pharmaceuticals Ltd),1
54696,Amlodipine 10mg tablets (Sandoz Ltd),1
54799,Tildiem LA 300 capsules (Mawdsley-Brooks & Company Ltd),1
54983,Amlodipine 2.5mg/5ml oral suspension,1
55257,Diltiazem 60mg/5ml oral solution,1
55306,Folpik XL 5mg tablets (Teva UK Ltd),1
55358,Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 25mg Tablet,1
55455,Nifedipine 10mg capsules (Strides Shasun (UK) Ltd),1
55740,Neofel XL 2.5mg tablets (Actavis UK Ltd),1
55824,Nifedipine 20mg Modified-release tablet (Berk Pharmaceuticals Ltd),1
56147,Amlodipine 10mg tablets (Accord Healthcare Ltd),1
56334,Amlodipine 10mg tablets (Bristol Laboratories Ltd),1
56467,Tildiem 60mg modified-release tablets (DE Pharmaceuticals),1
56469,Adalat LA 60 tablets (Necessity Supplies Ltd),1
56758,Diltiazem 90mg modified-release capsules (Cubic Pharmaceuticals Ltd),1
56767,Lercanidipine 20mg tablets (Mylan Ltd),1
56994,Lacidipine 4mg tablets (Teva UK Ltd),1
57208,Diltiazem 120mg modified-release capsules (Cubic Pharmaceuticals Ltd),1
57444,Lercanidipine 10mg tablets (Aptil Pharma Ltd),1
57531,Adalat LA 60 tablets (Waymade Healthcare Plc),1
57594,Tildiem 60mg modified-release tablets (Waymade Healthcare Plc),1
57653,Adalat LA 20 tablets (Sigma Pharmaceuticals Plc),1
57680,Lacidipine 4mg tablets (A A H Pharmaceuticals Ltd),1
57859,Diltiazem 90mg modified-release tablets (Cubic Pharmaceuticals Ltd),1
58339,Neofel XL 2.5mg tablets (Almus Pharmaceuticals Ltd),1
58557,Adalat LA 20 tablets (Necessity Supplies Ltd),1
58580,Amlodipine 10mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd),1
