prodcode,prodname,diuretics
25382,Co-Diovan 160mg/25mg tablets (Novartis Pharmaceuticals UK Ltd),1
8102,Furosemide 40mg / Potassium chloride 600mg (potassium 8mmol) modified-release tablets,1
3054,Hygroton 100mg Tablet (Alliance Pharmaceuticals Ltd),1
4068,Dytac 50mg capsules (AMCo),1
8058,Normetic Tablet (Abbott Laboratories Ltd),1
21873,Atenix Co 50 tablets (Ashbourne Pharmaceuticals Ltd),1
9456,Amiloride 5mg / furosemide 40mg tablets,1
25363,Prestim tablets (Meda Pharmaceuticals Ltd),1
17720,Saluric 500mg Tablet (Merck Sharp & Dohme Ltd),1
4034,Amiloride 5mg / hydrochlorothiazide 50mg/5ml solution,1
15457,Baycaron 25mg Tablet (Bayer Plc),1
10214,Spironolactone 5mg/5ml oral suspension sugar free,1
24190,Neo-bendromax 5mg Tablet (Ashbourne Pharmaceuticals Ltd),1
7351,Bendroflumethiazide 2.5mg/5ml oral suspension,1
17143,Mefruside 25mg Tablet,1
3203,Capozide LS Tablet (E R Squibb and Sons Ltd),1
39137,Zestoretic 10 tablets (AstraZeneca UK Ltd),1
34374,Furosemide 40mg tablets (Teva UK Ltd),1
12294,Burinex 5mg tablets (LEO Pharma),1
29780,Furosemide 20mg Tablet (C P Pharmaceuticals Ltd),1
3293,Moduretic Oral solution (Bristol-Myers Squibb Pharmaceuticals Ltd),1
13526,Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd),1
33651,Bendroflumethiazide 2.5mg tablets (A A H Pharmaceuticals Ltd),1
21182,Hydrochlorothiazide with timolol and amiloride 25mg with 10mg with 2.5mg Tablet,1
12651,Timolol 10mg / Bendroflumethiazide 2.5mg tablets,1
13435,Frumil Forte 10mg/80mg tablets (Sanofi),1
8147,Lopresoretic Tablet (Novartis Pharmaceuticals UK Ltd),1
11519,Spironolactone 25mg/5ml oral suspension sugar free,1
7709,Arelix 6mg Capsule (Hoechst Marion Roussel),1
764,Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),1
18903,Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets,1
14761,Frusid 40mg tablets (Dr Reddy's Laboratories (UK) Ltd),1
12546,Kalspare Tablet (Dominion Pharma),1
18202,MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd),1
21867,Berkozide 5mg Tablet (Berk Pharmaceuticals Ltd),1
9935,Amiloride 5mg/5ml oral solution sugar free,1
20066,Amil-Co 5mg/50mg tablets (IVAX Pharmaceuticals UK Ltd),1
21423,Cozaar-Comp 100mg/25mg tablets (Merck Sharp & Dohme Ltd),1
8836,Chlorothiazide 500mg tablets,1
6877,Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),1
12226,Burinex 1mg/5ml Oral solution (LEO Pharma),1
31670,Bendroflumethiazide 2.5mg tablets (Teva UK Ltd),1
15811,Co-flumactone 25mg/25mg tablets,1
10781,Lasix with k Tablet (Hoechst Marion Roussel),1
9764,Carace 20 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
14057,Pindolol 10mg / Clopamide 5mg tablets,1
22923,Hydrochlorothiazide with amiloride 50mg with 5mg Tablet,1
24189,Neo-bendromax 2.5mg Tablet (Ashbourne Pharmaceuticals Ltd),1
27689,Bendroflumethiazide 2.5mg tablets (IVAX Pharmaceuticals UK Ltd),1
11384,Co-flumactone 50mg/50mg tablets,1
17689,MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd),1
11487,Torasemide 2.5mg tablets,1
8602,Metenix 5mg tablets (Sanofi),1
6815,Spironolactone 50mg/5ml oral suspension sugar free,1
13352,Midamor 5mg Tablet (MSD Thomas Morson Pharmaceuticals),1
38901,Frumil LS 20mg/2.5mg tablets (Sanofi),1
4983,Atenolol with amiloride and hydrochlorothiazide capsules,1
3287,Furosemide 1mg/ml Oral solution,1
10902,Captopril 50mg with Hydrochlorothiazide 25mg tablets,1
3517,Hydrochlorothiazide 50mg tablets,1
27447,Furosemide 40mg tablets (Wockhardt UK Ltd),1
18361,Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd),1
5249,Furosemide 50mg/5ml oral solution sugar free,1
8673,Oxprenolol with cyclopenthiazide 160mg+0.25mg Modified-release tablet,1
21849,Dryptal 40mg Tablet (Berk Pharmaceuticals Ltd),1
4661,Spironolactone 50mg / Furosemide 20mg capsules,1
18096,Torasemide 10mg tablets,1
35481,Irbesartan 300mg / Hydrochlorothiazide 25mg tablets,1
18726,Triamaxco 50mg/25mg tablets (Ashbourne Pharmaceuticals Ltd),1
4960,Aldactone 50mg tablets (Pfizer Ltd),1
5218,Bumetanide 1mg/5ml oral solution sugar free,1
787,Spironolactone 100mg capsule,1
38995,Zestoretic 20 tablets (AstraZeneca UK Ltd),1
37908,Coversyl Arginine Plus 5mg/1.25mg tablets (Servier Laboratories Ltd),1
12360,Nephril 1mg Tablet (Pfizer Ltd),1
2179,Triamterene 50mg capsules,1
3701,Amiloride 2.5mg / hydrochlorothiazide 25mg tablets,1
14283,Valsartan 160mg / Hydrochlorothiazide 25mg tablets,1
8897,Triam-Co 50mg/25mg tablets (IVAX Pharmaceuticals UK Ltd),1
2833,CYCLOPENTHIAZIDE -K tablets,1
11351,Co-zidocapt 25mg/50mg tablets,1
8891,Hygroton -k Tablet (Novartis Pharmaceuticals UK Ltd),1
1209,Neo-Naclex 5mg tablets (Mercury Pharma Group Ltd),1
18200,Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets,1
21803,Berkozide 2.5mg Tablet (Berk Pharmaceuticals Ltd),1
4873,Fru-Co 5mg/40mg tablets (Teva UK Ltd),1
8052,Torasemide 5mg tablets,1
2389,Aldactone 25mg tablets (Pfizer Ltd),1
11265,Triamterene 50mg / Furosemide 40mg tablets,1
7799,Lasix 20mg tablets (Borg Medicare),1
7952,Aldactone 100mg tablets (Pfizer Ltd),1
1211,Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets,1
42142,Moduretic 5mg/50mg tablets (Merck Sharp & Dohme Ltd),1
14870,Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets,1
6359,Zestoretic 10- 10mg+12.5mg Tablet (AstraZeneca UK Ltd),1
37650,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets,1
16206,Froop 40mg tablets (Ashbourne Pharmaceuticals Ltd),1
8623,Prestim Tablet (ICN Pharmaceuticals France S.A.),1
3793,Co-amilofruse 10mg/80mg tablets,1
4044,Diurexan 20mg tablets (Meda Pharmaceuticals Ltd),1
9223,Triamterene with hydrochlorothiazide 50mg + 25mg Tablet,1
16531,Eplerenone 50mg tablets,1
2979,Centyl k Tablet (Edwin Burgess Ltd),1
16060,Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets,1
10316,CoAprovel 150mg/12.5mg tablets (Sanofi),1
11526,CoAprovel 300mg/12.5mg tablets (Sanofi),1
27256,Bendroflumethiazide 2.5mg tablets (Wockhardt UK Ltd),1
39807,Frumil 40mg/5mg tablets (Sanofi),1
3997,Hygroton 50mg tablets (Alliance Pharmaceuticals Ltd),1
9143,Viskaldix tablets (AMCo),1
542,Hydrochlorothiazide 25mg tablets,1
4211,Furosemide with amiloride 20mg+2.5mg Tablet,1
6118,Furosemide 20mg/5ml oral solution sugar free,1
7618,Xipamide 20mg tablets,1
3050,Furosemide with triamterene 40mgwith50mg Tablet,1
5189,Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets,1
11864,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets,1
1021,Innozide 20mg/12.5mg tablets (Merck Sharp & Dohme Ltd),1
4540,Cozaar-Comp 50mg/12.5mg tablets (Merck Sharp & Dohme Ltd),1
14587,Amiloride 5mg / Bumetanide 1mg tablets,1
2001,Aldactide 25 tablets (Pfizer Ltd),1
2046,Navidrex 500microgram tablets (AMCo),1
16161,Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets,1
1170,Cyclopenthiazide 500microgram tablets,1
7441,Lasilactone 20mg/50mg capsules (Sanofi),1
5728,Furosemide 40mg/5ml oral solution sugar free,1
2495,Bumetanide with Amiloride tablets,1
7543,Kalten capsules (M & A Pharmachem Ltd),1
8526,Aprinox 2.5mg tablets (AMCo),1
3248,Furosemide 500mg tablets,1
37978,Perindopril arginine 5mg / Indapamide 1.25mg tablets,1
10323,Losartan 100mg / Hydrochlorothiazide 25mg tablets,1
7698,Aprinox 5mg tablets (Amdipharm Plc),1
1297,Aldactide 50 tablets (Pfizer Ltd),1
2982,Zestoretic 20- 20mg+12.5mg Tablet (AstraZeneca UK Ltd),1
605,Chlortalidone 50mg tablets,1
11448,Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets,1
7806,Bumetanide 5mg tablets,1
1213,Neo-Naclex-K modified-release tablets (Mercury Pharma Group Ltd),1
7734,Diumide-K Continus tablets (Teofarma),1
3056,Natrilix SR 1.5mg tablets (Servier Laboratories Ltd),1
6794,Perindopril erbumine 4mg / Indapamide 1.25mg tablets,1
5727,Amiloride 2.5mg / Cyclopenthiazide 250microgram tablets,1
7606,Lasix 40mg tablets (Sanofi),1
4332,Metolazone 5mg tablets,1
1520,Capozide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),1
2002,Amiloride 5mg / hydrochlorothiazide 50mg tablets,1
2788,Burinex 1mg tablets (LEO Pharma),1
2772,Lasoride 5mg/40mg tablets (Sanofi),1
1301,Frumil ls 20mg+2.5mg Tablet (Helios Healthcare Ltd),1
11469,Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets,1
5416,Co-triamterzide 50mg/25mg tablets,1
1251,Moduret 25 tablets (Merck Sharp & Dohme Ltd),1
2493,Burinex A 5mg/1mg tablets (LEO Pharma),1
6786,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets,1
6437,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets,1
10251,Eplerenone 25mg tablets,1
2961,Frusene 50mg/40mg tablets (Orion Pharma (UK) Ltd),1
581,Atenolol 50mg with Chlortalidone 12.5mg tablets,1
924,Co-amilozide 2.5mg/25mg tablets,1
1125,Navidrex -k Tablet (Novartis Pharmaceuticals UK Ltd),1
1788,Atenolol 100mg with Chlortalidone 25mg tablets,1
7641,Natrilix 2.5mg tablets (Servier Laboratories Ltd),1
1369,Furosemide with amiloride 40mg+5mg Tablet,1
1288,Tenoret 50mg/12.5mg tablets (AstraZeneca UK Ltd),1
6468,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets,1
2255,Navispare 2.5mg/250microgram tablets (AMCo),1
2142,Spironolactone 100mg tablets,1
5721,Co-tenidone 100mg/25mg tablets,1
9783,Co-tenidone 50mg/12.5mg tablets,1
708,Spironolactone 50mg tablets,1
1124,Tenoretic 100mg/25mg tablets (AstraZeneca UK Ltd),1
1721,Dyazide 50mg/25mg tablets (AMCo),1
193,Co-amilofruse 2.5mg/20mg tablets,1
923,Co-amilozide 5mg/50mg tablets,1
1060,Amiloride 5mg tablets,1
348,Moduretic Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
211,Frumil 40mg+5mg Tablet (Helios Healthcare Ltd),1
5112,Indapamide 1.5mg modified-release tablets,1
2612,Indapamide 2.5mg tablets,1
692,Spironolactone 25mg tablets,1
814,Bumetanide 1mg tablets,1
58,Bendroflumethiazide 5mg tablets,1
56,Co-amilofruse 5mg/40mg tablets,1
55,Furosemide 20mg tablets,1
6,Furosemide 40mg tablets,1
2,Bendroflumethiazide 2.5mg tablets,1
35789,Spironolactone 25mg Tablet (Celltech Pharma Europe Ltd),1
40247,Furosemide 10mg/ml Injection (Martindale Pharmaceuticals Ltd),1
60020,Indapamide 1.5mg modified-release tablets (Waymade Healthcare Plc),1
62249,Co-amilozide 5mg/50mg tablets (Alliance Healthcare (Distribution) Ltd),1
59884,Furosemide 20mg tablets (Phoenix Healthcare Distribution Ltd),1
67780,Bendroflumethiazide 5mg tablets (DE Pharmaceuticals),1
71682,Losartan 100mg / Hydrochlorothiazide 25mg tablets (Mawdsley-Brooks & Company Ltd),1
52887,Furosemide 20mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd),1
55259,Indapamide 2.5mg tablets (Kent Pharmaceuticals Ltd),1
52189,Losartan 100mg / Hydrochlorothiazide 25mg tablets (A A H Pharmaceuticals Ltd),1
