prodcode,prodname,insulin
10243,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),1
20995,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),1
10484,Penmix 20/80 Penfill (Novo Nordisk Ltd),1
14330,Insulin detemir 100units/ml solution for injection 3ml pre-filled disposable devices,1
14313,Insulin lispro 100units/ml solution for injection 3ml cartridges,1
35253,Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi),1
43950,Humulin I KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
30209,Actrapid mc 100unit/ml Injection (Arun Products Ltd),1
21232,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 10ml vials,1
10887,Penmix 40/60 100iu/ml Penfill (Novo Nordisk Ltd),1
9618,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals Ltd),1
36194,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 3ml cartridges,1
7771,Human protaphane penfill 100 100unit/ml Penfill (Novo Nordisk Ltd),1
5891,Insulatard FlexPen 100units/ml suspension for injection (Novo Nordisk Ltd),1
36031,Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges,1
18592,Insulin soluble bovine 100units/ml solution for injection 10ml vials,1
12035,Insulin zinc mixed bovine 100units/ml suspension for injection 10ml vials,1
23231,Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),1
11056,Insulin biphasic isophane human pyr 30:70; 100 units/ml Injection,1
10244,Mixtard 40 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),1
9376,Insulin zinc suspension crystalline human pyr 100unit/ml long acting Injection,1
8841,Humulin M5 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd),1
23993,Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),1
5501,Insuman basal 100iu/ml Injection (Aventis Pharma),1
16700,Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection,1
10264,Humalog Pen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),1
24593,Neutral insulin bovine 100unit/ml Injection,1
36513,Velosulin cartridge 100unit/ml Injection (Novo Nordisk Ltd),1
5892,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),1
10225,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi),1
14649,Insulin biphasic isophane human pyr 10:90; 100 units/ml Injection,1
