prodcode,prodname,other_hyper
64284,Dixarit 25microgram tablets (Lexon (UK) Ltd),1
6437,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets,1
6468,Lisinopril 20mg / Hydrochlorothiazide 12.5mg tablets,1
65386,Proglycem 250mg/5ml oral suspension (Imported (United States)),1
66016,Intuniv 1mg modified-release tablets (Shire Pharmaceuticals Ltd),1
66388,Intuniv 3mg modified-release tablets (Shire Pharmaceuticals Ltd),1
66429,Intuniv 4mg modified-release tablets (Shire Pharmaceuticals Ltd),1
66598,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Lupin (Europe) Ltd),1
66936,Intuniv 2mg modified-release tablets (Shire Pharmaceuticals Ltd),1
6694,Clonidine 300microgram tablets,1
66997,MicardisPlus 40mg/12.5mg tablets (Waymade Healthcare Plc),1
67005,Guanfacine 1mg modified-release tablets,1
67200,Clonidine 10micrograms/5ml oral solution,1
67516,Guanfacine 2mg modified-release tablets,1
67664,Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets (Teva UK Ltd),1
67665,Moxonidine 400microgram tablets (Actavis UK Ltd),1
67675,Guanfacine 4mg modified-release tablets,1
67767,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets (Almus Pharmaceuticals Ltd),1
67801,Dyazide 50mg/25mg tablets (Lexon (UK) Ltd),1
67808,Physiotens 200microgram tablets (Actavis UK Ltd),1
6786,Lisinopril 10mg / Hydrochlorothiazide 12.5mg tablets,1
6794,Perindopril erbumine 4mg / Indapamide 1.25mg tablets,1
68020,Beta-Adalat modified-release capsules (Sigma Pharmaceuticals Plc),1
68529,Guanfacine 3mg modified-release tablets,1
6877,Co-Diovan 160mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),1
69334,Bendroflumethiazide 5mg with Nadolol 80mg tablets,1
70655,Hydralazine 25mg/5ml oral suspension,1
7066,Metoprolol 100mg / Hydrochlorothiazide 12.5mg tablets,1
70754,Losartan 50mg / Hydrochlorothiazide 12.5mg tablets (Ranbaxy (UK) Ltd),1
70922,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (Phoenix Healthcare Distribution Ltd),1
71097,Hydralazine 50mg tablets (Almus Pharmaceuticals Ltd),1
71110,Aldomet 500mg tablets (Sigma Pharmaceuticals Plc),1
71115,Zestoretic 10 tablets (Waymade Healthcare Plc),1
71256,Hydralazine 20mg powder for concentrate for solution for injection ampoules (AMCo),1
71348,Frumil 40mg/5mg tablets (Waymade Healthcare Plc),1
7136,Dytide capsules (Mercury Pharma Group Ltd),1
71377,Frumil LS 20mg/2.5mg tablets (Waymade Healthcare Plc),1
71385,Aldomet 250mg tablets (Sigma Pharmaceuticals Plc),1
71618,Losartan 100mg / Hydrochlorothiazide 12.5mg tablets (A A H Pharmaceuticals Ltd),1
71682,Losartan 100mg / Hydrochlorothiazide 25mg tablets (Mawdsley-Brooks & Company Ltd),1
7174,Moxonidine 400microgram tablets,1
71748,Actelsar HCT 80mg/25mg tablets (Actavis UK Ltd),1
7416,Aldomet 50mg/ml Injection (Merck Sharp & Dohme Ltd),1
7441,Lasilactone 20mg/50mg capsules (Sanofi),1
7543,Kalten capsules (M & A Pharmachem Ltd),1
7626,Aldomet 250mg Tablet (Merck Sharp & Dohme Ltd),1
764,Co-Diovan 80mg/12.5mg tablets (Novartis Pharmaceuticals UK Ltd),1
7642,Aldomet 500mg Tablet (Merck Sharp & Dohme Ltd),1
7740,Triamterene 50mg / Benzthiazide 25mg capsules,1
7922,Ismelin 10mg Tablet (Sovereign Medical Ltd),1
7923,Guanethidine 10mg Tablet,1
7961,Spironolactone 50mg with hydroflumethiazide 50mg tablet,1
8033,Aldomet 125mg Tablet (Merck Sharp & Dohme Ltd),1
8058,Normetic Tablet (Abbott Laboratories Ltd),1
8061,Sotalol 80mg with hydrochlorothiazide 12.5mg tablet,1
8147,Lopresoretic Tablet (Novartis Pharmaceuticals UK Ltd),1
8189,Secadrex 200mg/12.5mg tablets (Sanofi),1
8296,Catapres PL Perlongets 250microgram capsules (Boehringer Ingelheim Ltd),1
8369,Inderex 160mg/5mg modified-release capsules (AstraZeneca UK Ltd),1
8521,Spironolactone 25mg with hydroflumethiazide 25mg tablet,1
8623,Prestim Tablet (ICN Pharmaceuticals France S.A.),1
8642,Tenif 50mg/20mg modified-release capsules (AstraZeneca UK Ltd),1
8673,Oxprenolol with cyclopenthiazide 160mg+0.25mg Modified-release tablet,1
8788,TIMOLOL 10MG/BENDROFLUAZIDE 2.5MG TAB,1
8897,Triam-Co 50mg/25mg tablets (IVAX Pharmaceuticals UK Ltd),1
8987,Propranolol 160mg modified-release / Bendroflumethiazide 5mg capsules,1
9178,Atenolol 25mg / Bendroflumethiazide 1.25mg capsules,1
9223,Triamterene with hydrochlorothiazide 50mg + 25mg Tablet,1
9225,Methyldopa 250mg Capsule,1
923,Co-amilozide 5mg/50mg tablets,1
924,Co-amilozide 2.5mg/25mg tablets,1
9431,Frusemek 40mg+5mg Tablet (Approved Prescription Services Ltd),1
9456,Amiloride 5mg / furosemide 40mg tablets,1
9463,Loniten 5mg tablets (Pfizer Ltd),1
9697,Loniten 2.5mg tablets (Pfizer Ltd),1
9749,Physiotens 400microgram tablets (Mylan),1
9764,Carace 20 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd),1
9783,Co-tenidone 50mg/12.5mg tablets,1
9876,Physiotens 300microgram tablets (Mylan),1
