prodcode,prodname,bb
56445,atenolol 25mg/5ml oral solution sugar free (a a h pharmaceuticals ltd),1
56459,bisoprolol 2.5mg tablets (accord healthcare ltd),1
56485,celectol 200mg tablets (waymade healthcare plc),1
56486,monocor 10mg tablets (dowelhurst ltd),1
56764,propranolol 40mg tablets (waymade healthcare plc),1
56768,bisoprolol 2.5mg tablets (niche generics ltd),1
57023,bisoprolol 2.5mg tablets (almus pharmaceuticals ltd),1
57063,bedranol sr 80mg capsules (almus pharmaceuticals ltd),1
57176,bisoprolol 10mg tablets (accord healthcare ltd),1
57240,metoprolol 50mg/5ml oral suspension (special order),1
57342,propranolol 40mg tablets (phoenix healthcare distribution ltd),1
57567,propranolol 10mg/5ml oral suspension,1
57573,celectol 200mg tablets (dowelhurst ltd),1
57578,cardicor 2.5mg tablets (necessity supplies ltd),1
57626,bisoprolol 1.25mg/5ml oral solution,1
57817,atenolol 50mg tablets (zentiva),1
57934,bisoprolol 5mg tablets (sandoz ltd),1
58109,bisoprolol 1.25mg/5ml oral suspension,1
58297,propranolol 10mg tablets (kent pharmaceuticals ltd),1
58407,propranolol 80mg tablets (teva uk ltd),1
58455,bisoprolol 7.5mg tablets (sandoz ltd),1
58491,propranolol 40mg tablets (alliance healthcare (distribution) ltd),1
58498,bisoprolol 2.5mg tablets (medreich plc),1
58511,bisoprolol 1.25mg tablets (sandoz ltd),1
58763,bisoprolol 2.5mg tablets (waymade healthcare plc),1
58973,bisoprolol 10mg tablets (niche generics ltd),1
58974,bisoprolol 2.5mg tablets (alliance healthcare (distribution) ltd),1
58982,bisoprolol 10mg tablets (medreich plc),1
59037,bisoprolol 5mg tablets (a a h pharmaceuticals ltd),1
59148,bisoprolol 2.5mg tablets (zentiva),1
59222,labetalol 100mg/20ml solution for injection ampoules (focus pharmaceuticals ltd),1
59415,propranolol 40mg tablets (accord healthcare ltd),1
59495,bisoprolol 1.25mg tablets (teva uk ltd),1
59549,carvedilol 5mg/5ml oral suspension,1
59597,propranolol 160mg modified-release capsules (a a h pharmaceuticals ltd),1
59695,atenolol 50mg tablets (boston healthcare ltd),1
59961,nebivolol 10mg tablets,1
59969,bisoprolol 5mg tablets (almus pharmaceuticals ltd),1
59982,atenolol 25mg tablets (accord healthcare ltd),1
60502,bisoprolol 3.75mg tablets (de pharmaceuticals),1
60565,propranolol 40mg tablets (ranbaxy (uk) ltd),1
60761,bisoprolol 1.25mg tablets (medreich plc),1
60896,bisoprolol 5mg tablets (medreich plc),1
60934,propranolol 80mg modified-release capsules (kent pharmaceuticals ltd),1
61115,bisoprolol 5mg/5ml oral solution,1
61340,bisoprolol 5mg tablets (de pharmaceuticals),1
61564,bisoprolol 3.75mg tablets (waymade healthcare plc),1
61573,atenolol 25mg/5ml oral solution,1
61651,bisoprolol 7.5mg tablets (almus pharmaceuticals ltd),1
61663,carvedilol 3.125mg tablets (teva uk ltd),1
61719,beta-adalat modified-release capsules (waymade healthcare plc),1
61727,propranolol 10mg tablets (accord healthcare ltd),1
62325,atenolol 25mg tablets (waymade healthcare plc),1
62361,bisoprolol 1.25mg tablets (chanelle medical uk ltd),1
62407,bisoprolol oral solution,1
62537,co-tenidone 100mg/25mg tablets (de pharmaceuticals),1
62638,labetalol 100mg tablets (actavis uk ltd),1
62711,propranolol 80mg modified-release capsules (waymade healthcare plc),1
63422,carvedilol 12.5mg tablets (waymade healthcare plc),1
63493,bisoprolol 2.5mg tablets (actavis uk ltd),1
63535,bisoprolol 5mg tablets (relonchem ltd),1
63724,metoprolol 100mg tablets (waymade healthcare plc),1
63736,labetalol 100mg tablets (waymade healthcare plc),1
63850,bisoprolol 2.5mg tablets (teva uk ltd),1
64160,propranolol 5mg/5ml oral solution sugar free (am distributions (yorkshire) ltd),1
64538,bisoprolol 3.75mg tablets (teva uk ltd),1
64703,nebivolol 5mg tablets (glenmark pharmaceuticals europe ltd),1
64784,bisoprolol 5mg tablets (niche generics ltd),1
64850,bisoprolol 2.5mg tablets (de pharmaceuticals),1
64973,atenolol 50mg tablets (sigma pharmaceuticals plc),1
65027,bisoprolol 5mg / aspirin 100mg capsules,1
65227,metoprolol 12.5mg/5ml oral solution,1
65435,propranolol 10mg tablets (waymade healthcare plc),1
65438,acebutolol 100mg capsules (a a h pharmaceuticals ltd),1
65805,bisoprolol 1.25mg tablets (waymade healthcare plc),1
65821,bisoprolol 7.5mg/5ml oral suspension,1
65986,propranolol 10mg tablets (alliance healthcare (distribution) ltd),1
66464,nadolol 40mg/5ml oral solution,1
66548,atenolol 50mg tablets (de pharmaceuticals),1
66555,propranolol 10mg tablets (boston healthcare ltd),1
66559,nebilet 5mg tablets (waymade healthcare plc),1
66670,metoprolol 100mg tablets (alliance healthcare (distribution) ltd),1
66779,nadolol 30mg/5ml oral suspension,1
67124,bisoprolol 10mg / aspirin 75mg capsules,1
67292,celectol 200mg tablets (sigma pharmaceuticals plc),1
67424,nadolol 80mg/5ml oral suspension,1
67595,nebivolol 5mg tablets (almus pharmaceuticals ltd),1
67661,carvedilol 6.25mg tablets (sigma pharmaceuticals plc),1
68020,beta-adalat modified-release capsules (sigma pharmaceuticals plc),1
68400,propranolol 160mg tablets (de pharmaceuticals),1
68677,nebivolol 5mg tablets (actavis uk ltd),1
68881,metoprolol 12.5mg capsules,1
69115,nebivolol 5mg tablets (a a h pharmaceuticals ltd),1
69156,bisoprolol 3.75mg tablets (medreich plc),1
69334,bendroflumethiazide 5mg with nadolol 80mg tablets,1
69526,atenolol 50mg/5ml oral solution,1
69661,propranolol 3mg/5ml oral solution,1
70116,metoprolol 50mg/5ml oral solution,1
70135,atenolol 25mg tablets (de pharmaceuticals),1
70161,sotalol 40mg/5ml oral solution,1
70162,sotalol 40mg/5ml oral suspension,1
