medcode,readterm,cancer
48809,Malignant neoplasm of male breast NOS,1
33833,Malignant neoplasm of mandible,1
71946,Malignant neoplasm of mastoid air cells,1
17475,Malignant neoplasm of maxilla,1
32174,Malignant neoplasm of maxillary sinus,1
34878,Malignant neoplasm of medial cuneiform,1
61064,"Malignant neoplasm of mediastinum, part unspecified",1
49132,Malignant neoplasm of medulla oblongata,1
49875,"Malignant neoplasm of meninges, unspecified",1
90290,Malignant neoplasm of mesentery,1
59388,Malignant neoplasm of mesocaecum,1
30165,Malignant neoplasm of mesorectum,1
72464,Malignant neoplasm of metacarpal bones,1
93537,Malignant neoplasm of midbrain,1
41523,Malignant neoplasm of middle lobe bronchus,1
39923,Malignant neoplasm of middle lobe of lung,1
31268,"Malignant neoplasm of middle lobe, bronchus or lung",1
54134,"Malignant neoplasm of middle lobe, bronchus or lung NOS",1
54171,Malignant neoplasm of middle third of oesophagus,1
55015,Malignant neoplasm of mouth NOS,1
103946,Malignant neoplasm of mucosa of trachea,1
65605,Malignant neoplasm of myocardium,1
45793,Malignant neoplasm of myometrium of corpus uteri,1
95458,Malignant neoplasm of nasal bone,1
23389,Malignant neoplasm of nasal cavities,1
42856,Malignant neoplasm of nasal cavities NOS,1
98911,Malignant neoplasm of nasal conchae,1
65357,Malignant neoplasm of nasolacrimal duct,1
24675,Malignant neoplasm of nasopharynx,1
28665,Malignant neoplasm of nasopharynx NOS,1
16280,Malignant neoplasm of neck NOS,1
56490,Malignant neoplasm of nervous system NOS,1
26853,Malignant neoplasm of nipple and areola of female breast,1
54494,Malignant neoplasm of nipple and areola of male breast,1
23380,Malignant neoplasm of nipple of female breast,1
68480,Malignant neoplasm of nipple of male breast,1
59831,Malignant neoplasm of nipple or areola of female breast NOS,1
12490,Malignant neoplasm of nose NOS,1
55953,Malignant neoplasm of occipital bone,1
39088,Malignant neoplasm of occipital lobe,1
1062,Malignant neoplasm of oesophagus,1
30700,Malignant neoplasm of oesophagus NOS,1
64971,Malignant neoplasm of olfactory bulb,1
50898,Malignant neoplasm of omentum,1
70126,Malignant neoplasm of optic nerve,1
45667,Malignant neoplasm of orbit,1
63104,Malignant neoplasm of orbit NOS,1
50298,Malignant neoplasm of orbital bone,1
22893,Malignant neoplasm of oropharynx,1
43200,Malignant neoplasm of oropharynx NOS,1
67323,"Malignant neoplasm of oropharynx, other specified sites",1
45267,Malignant neoplasm of other and ill defined site NOS,1
9030,Malignant neoplasm of other and ill-defined sites,1
14792,Malignant neoplasm of other and unspecified parts of mouth,1
1056,Malignant neoplasm of other and unspecified site NOS,1
38736,Malignant neoplasm of other and unspecified site OS,1
10995,Malignant neoplasm of other and unspecified sites,1
70696,Malignant neoplasm of other major salivary glands,1
67949,Malignant neoplasm of other male genital organ,1
92329,Malignant neoplasm of other male genital organ NOS,1
100733,Malignant neoplasm of other part of brain NOS,1
71139,Malignant neoplasm of other parts of brain,1
32955,Malignant neoplasm of other site of cervix,1
43435,Malignant neoplasm of other site of cervix NOS,1
56715,Malignant neoplasm of other site of female breast,1
38475,Malignant neoplasm of other site of female breast NOS,1
54202,Malignant neoplasm of other site of male breast,1
29283,Malignant neoplasm of other site of respiratory tract,1
36949,Malignant neoplasm of other site of urinary bladder,1
97996,Malignant neoplasm of other site of uterine adnexa,1
31608,Malignant neoplasm of other site of uterine body,1
49758,"Malignant neoplasm of other sites lip, oral cavity, pharynx",1
38961,Malignant neoplasm of other sites of bronchus or lung,1
56709,Malignant neoplasm of other sites of floor of mouth,1
101753,Malignant neoplasm of other sites of gum,1
41530,Malignant neoplasm of other sites of tongue,1
90659,Malignant neoplasm of other specified endocrine gland,1
95421,Malignant neoplasm of other specified female genital organ,1
88362,Malignant neoplasm of other specified hypopharyngeal site,1
37916,Malignant neoplasm of other specified mouth parts,1
88144,Malignant neoplasm of other specified part of nervous system,1
53591,Malignant neoplasm of other specified part of oesophagus,1
98104,Malignant neoplasm of other specified pleura,1
40437,Malignant neoplasm of other specified site of eye,1
55630,Malignant neoplasm of other specified site of nasopharynx,1
91037,Malignant neoplasm of other specified site of oropharynx NOS,1
55019,Malignant neoplasm of other specified site of stomach,1
65372,Malignant neoplasm of other specified site of stomach NOS,1
99896,Malignant neoplasm of other specified site small intestine,1
42218,Malignant neoplasm of other specified sites,1
48231,Malignant neoplasm of other specified sites of colon,1
48537,Malignant neoplasm of other specified sites of pancreas,1
44884,Malignant neoplasm of other urinary organs,1
7805,Malignant neoplasm of ovary,1
19141,Malignant neoplasm of ovary and other uterine adnexa,1
36371,Malignant neoplasm of overlapping lesion of bronchus & lung,1
16967,Malignant neoplasm of overlapping lesion of corpus uteri,1
18882,Malignant neoplasm of overlapping lesion of lip,1
102151,Malignant neoplasm of overlapping lesion of tonsil,1
59286,Malignant neoplasm of overlapping lesion of urinary organs,1
27617,Malignant neoplasm of overlapping lesion of vulva,1
28559,Malignant neoplasm of palate NOS,1
70819,Malignant neoplasm of palate unspecified,1
101988,Malignant neoplasm of palatine tonsil,1
61510,Malignant neoplasm of palatoglossal arch,1
93842,Malignant neoplasm of palatopharyngeal arch,1
8166,Malignant neoplasm of pancreas,1
34388,Malignant neoplasm of pancreas NOS,1
35535,Malignant neoplasm of pancreatic duct,1
46153,Malignant neoplasm of parametrium,1
4218,Malignant neoplasm of parathyroid gland,1
72174,Malignant neoplasm of paraurethral glands,1
54747,Malignant neoplasm of parietal bone,1
19226,Malignant neoplasm of parietal lobe,1
64516,Malignant neoplasm of parietal peritoneum,1
67107,Malignant neoplasm of parietal pleura,1
4388,Malignant neoplasm of parotid gland,1
54631,"Malignant neoplasm of pelvic bones, sacrum and coccyx",1
39413,Malignant neoplasm of pelvic peritoneum,1
52316,Malignant neoplasm of pelvis,1
55101,Malignant neoplasm of pelvis NOS,1
38938,"Malignant neoplasm of pelvis, sacrum or coccyx NOS",1
63224,Malignant neoplasm of penis and other male genital organ NOS,1
3541,Malignant neoplasm of penis and other male genital organs,1
43392,"Malignant neoplasm of penis, part unspecified",1
94975,Malignant neoplasm of pericardium,1
65159,Malignant neoplasm of perinephric tissue,1
86046,Malignant neoplasm of peripheral nerve of abdomen,1
89258,"Malignant neoplasm of peripheral nerve of low limb, incl hip",1
73988,Malignant neoplasm of peripheral nerve of pelvis,1
63695,Malignant neoplasm of peripheral nerve of thorax,1
61716,"Malignant neoplasm of peripheral nerve,upp limb,incl should",1
63568,"Malignant neoplasm of peripheral nerves of head, face & neck",1
58949,Malignant neoplasm of phalanges of foot,1
86812,Malignant neoplasm of phalanges of hand,1
37940,Malignant neoplasm of pharyngeal recess,1
46548,Malignant neoplasm of pharyngeal tonsil,1
16297,Malignant neoplasm of pharynx unspecified,1
42460,Malignant neoplasm of pineal gland,1
8550,Malignant neoplasm of pituitary gland,1
93762,Malignant neoplasm of placenta,1
31573,Malignant neoplasm of pleura,1
34742,Malignant neoplasm of pleura NOS,1
91240,Malignant neoplasm of pons,1
43548,Malignant neoplasm of postcricoid region,1
92720,Malignant neoplasm of posterior mediastinum,1
64462,Malignant neoplasm of posterior pharynx,1
69671,Malignant neoplasm of posterior third of tongue,1
95429,Malignant neoplasm of posterior wall of nasopharynx,1
96869,Malignant neoplasm of posterior wall of nasopharynx NOS,1
90124,Malignant neoplasm of posterior wall of oropharynx,1
96802,Malignant neoplasm of posterior wall of stomach NEC,1
42012,Malignant neoplasm of posterior wall of urinary bladder,1
50681,Malignant neoplasm of prepuce (foreskin),1
48237,Malignant neoplasm of prepylorus of stomach,1
89916,Malignant neoplasm of presacral region,1
780,Malignant neoplasm of prostate,1
51921,Malignant neoplasm of pubis,1
19318,Malignant neoplasm of pyloric antrum of stomach,1
41215,Malignant neoplasm of pyloric canal of stomach,1
21620,Malignant neoplasm of pylorus of stomach,1
59092,Malignant neoplasm of pylorus of stomach NOS,1
39897,Malignant neoplasm of pyriform sinus,1
92371,Malignant neoplasm of radius,1
27855,Malignant neoplasm of rectosigmoid junction,1
1800,Malignant neoplasm of rectum,1
35357,"Malignant neoplasm of rectum, rectosigmoid junction and anus",1
27540,Malignant neoplasm of renal calyces,1
12389,Malignant neoplasm of renal pelvis,1
54184,Malignant neoplasm of renal pelvis NOS,1
42569,Malignant neoplasm of respiratory tract NOS,1
28069,Malignant neoplasm of retina,1
24048,Malignant neoplasm of retrocaecal tissue,1
37724,Malignant neoplasm of retromolar area,1
21330,Malignant neoplasm of retroperitoneum,1
61555,Malignant neoplasm of retroperitoneum NOS,1
44108,Malignant neoplasm of retroperitoneum and peritoneum,1
16298,Malignant neoplasm of retroperitoneum and peritoneum NOS,1
37842,Malignant neoplasm of rib,1
51237,"Malignant neoplasm of rib, sternum and clavicle NOS",1
27528,"Malignant neoplasm of ribs, sternum and clavicle",1
69951,Malignant neoplasm of roof of mouth,1
94390,Malignant neoplasm of roof of nasopharynx,1
40966,Malignant neoplasm of sacral vertebra,1
49054,Malignant neoplasm of scapula,1
71810,Malignant neoplasm of scapula and long bones of upper arm,1
47767,Malignant neoplasm of scrotum,1
68161,Malignant neoplasm of seminal vesicle,1
62761,Malignant neoplasm of septum of nose,1
103354,Malignant neoplasm of short bones of leg NOS,1
2815,Malignant neoplasm of sigmoid colon,1
43390,Malignant neoplasm of small intestine NOS,1
6806,Malignant neoplasm of small intestine and duodenum,1
40292,Malignant neoplasm of soft palate,1
40014,Malignant neoplasm of soft tissue of face,1
59382,Malignant neoplasm of soft tissue of head,1
48517,Malignant neoplasm of soft tissue of neck,1
46613,Malignant neoplasm of specified parts of peritoneum,1
64106,Malignant neoplasm of specified parts of peritoneum NOS,1
60052,Malignant neoplasm of specified site NOS,1
95783,Malignant neoplasm of specified site of pancreas NOS,1
63331,Malignant neoplasm of spermatic cord,1
55595,Malignant neoplasm of sphenoid bone,1
65215,Malignant neoplasm of sphenoidal sinus,1
51115,Malignant neoplasm of spinal cord,1
49714,Malignant neoplasm of spinal meninges,1
67211,Malignant neoplasm of spinal meninges NOS,1
65460,Malignant neoplasm of spleen NEC,1
93778,Malignant neoplasm of spleen NOS,1
18619,Malignant neoplasm of splenic flexure of colon,1
57719,Malignant neoplasm of squamocolumnar junction of cervix,1
49491,Malignant neoplasm of sternum,1
8386,Malignant neoplasm of stomach,1
14800,Malignant neoplasm of stomach NOS,1
22441,Malignant neoplasm of subglottis,1
70928,Malignant neoplasm of sublingual gland,1
51786,Malignant neoplasm of submandibular gland,1
73510,Malignant neoplasm of supraclavicular fossa NOS,1
26165,Malignant neoplasm of supraglottis,1
39870,Malignant neoplasm of tail of pancreas,1
95182,Malignant neoplasm of talus,1
49463,Malignant neoplasm of tarsus of eyelid,1
62104,Malignant neoplasm of temporal bone,1
46792,Malignant neoplasm of temporal lobe,1
47556,Malignant neoplasm of temporal lobe NOS,1
15148,Malignant neoplasm of testis,1
38510,Malignant neoplasm of testis NOS,1
62126,Malignant neoplasm of thalamus,1
69821,Malignant neoplasm of the pouch of Douglas,1
41362,Malignant neoplasm of thoracic oesophagus,1
32372,Malignant neoplasm of thoracic vertebra,1
47286,Malignant neoplasm of thorax,1
64810,Malignant neoplasm of thorax NOS,1
27483,Malignant neoplasm of thymus,1
62556,"Malignant neoplasm of thymus, heart and mediastinum",1
47862,Malignant neoplasm of thyroid cartilage,1
5637,Malignant neoplasm of thyroid gland,1
40814,Malignant neoplasm of tibia,1
10283,Malignant neoplasm of tongue,1
40557,Malignant neoplasm of tongue NOS,1
37096,"Malignant neoplasm of tongue, junctional zone",1
36161,"Malignant neoplasm of tongue, tip and lateral border",1
16241,Malignant neoplasm of tonsil,1
24397,Malignant neoplasm of tonsillar fossa,1
100002,Malignant neoplasm of tonsillar fossa NOS,1
55066,Malignant neoplasm of tonsillar pillar,1
15221,Malignant neoplasm of trachea,1
37810,Malignant neoplasm of trachea NOS,1
13243,"Malignant neoplasm of trachea, bronchus and lung",1
6935,Malignant neoplasm of transverse colon,1
38862,Malignant neoplasm of trigone of urinary bladder,1
67217,Malignant neoplasm of trunk NOS,1
47668,Malignant neoplasm of tunica vaginalis,1
96445,Malignant neoplasm of turbinate,1
54613,Malignant neoplasm of tympanic antrum,1
98537,Malignant neoplasm of tympanic cavity,1
64848,Malignant neoplasm of ulna,1
64602,Malignant neoplasm of undescended testis,1
96429,Malignant neoplasm of undescended testis NOS,1
47810,Malignant neoplasm of unspecified site,1
54267,Malignant neoplasm of unspecified site NOS,1
95772,Malignant neoplasm of upper buccal sulcus,1
32024,Malignant neoplasm of upper gum,1
27449,Malignant neoplasm of upper limb NOS,1
66270,"Malignant neoplasm of upper lip, external",1
99001,"Malignant neoplasm of upper lip, frenulum",1
99493,"Malignant neoplasm of upper lip, inner aspect",1
100721,"Malignant neoplasm of upper lip, inner aspect NOS",1
50296,"Malignant neoplasm of upper lip, lipstick area",1
98500,"Malignant neoplasm of upper lip, mucosa",1
90610,"Malignant neoplasm of upper lip, oral aspect",1
73962,"Malignant neoplasm of upper lip, vermilion border",1
98740,"Malignant neoplasm of upper lip, vermilion border NOS",1
31700,Malignant neoplasm of upper lobe bronchus,1
25886,Malignant neoplasm of upper lobe of lung,1
10358,"Malignant neoplasm of upper lobe, bronchus or lung",1
44169,"Malignant neoplasm of upper lobe, bronchus or lung NOS",1
50789,Malignant neoplasm of upper third of oesophagus,1
29826,Malignant neoplasm of upper-inner quadrant of female breast,1
23399,Malignant neoplasm of upper-outer quadrant of female breast,1
42023,Malignant neoplasm of urachus,1
15223,Malignant neoplasm of ureter,1
28241,Malignant neoplasm of ureteric orifice,1
101608,Malignant neoplasm of ureteropelvic junction,1
15644,Malignant neoplasm of urethra,1
779,Malignant neoplasm of urinary bladder,1
31102,Malignant neoplasm of urinary bladder NOS,1
65106,Malignant neoplasm of uterine adnexa NOS,1
2744,"Malignant neoplasm of uterus, part unspecified",1
37516,Malignant neoplasm of uvula,1
37328,Malignant neoplasm of vagina,1
60772,Malignant neoplasm of vagina NOS,1
10698,Malignant neoplasm of vaginal vault,1
39554,Malignant neoplasm of vallecula,1
62840,Malignant neoplasm of ventral surface of tongue,1
38488,Malignant neoplasm of ventral tongue surface NOS,1
16704,Malignant neoplasm of vertebral column,1
49701,Malignant neoplasm of vertebral column NOS,1
103796,Malignant neoplasm of vestibule of mouth,1
62182,Malignant neoplasm of vestibule of nose,1
44452,Malignant neoplasm of vomer,1
4554,Malignant neoplasm of vulva unspecified,1
54493,Malignant neoplasm of xiphoid process,1
50299,Malignant neoplasm of zygomatic bone,1
60312,Malignant neoplasm other gallbladder/extrahepatic bile duct,1
56918,Malignant neoplasm other spec digestive tract and peritoneum,1
59823,Malignant neoplasm pituitary gland and craniopharyngeal duct,1
99386,Malignant neoplasm posterior margin nasal septum and choanae,1
50974,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS",1
53884,Malignant neoplasm tonsil NOS,1
66646,"Malignant neoplasm, overlap lesion of resp & intrathor orgs",1
68824,"Malignant neoplasm, overlapping lesion male genital orgs",1
39590,"Malignant neoplasm, overlapping lesion of accessory sinuses",1
35039,"Malignant neoplasm, overlapping lesion of biliary tract",1
47801,"Malignant neoplasm, overlapping lesion of bladder",1
65241,"Malignant neoplasm, overlapping lesion of brain",1
49148,"Malignant neoplasm, overlapping lesion of breast",1
58094,"Malignant neoplasm, overlapping lesion of cervix uteri",1
93478,"Malignant neoplasm, overlapping lesion of colon",1
94776,"Malignant neoplasm, overlapping lesion of digestive system",1
45922,"Malignant neoplasm, overlapping lesion of eye and adnexa",1
17912,"Malignant neoplasm, overlapping lesion of floor of mouth",1
50579,"Malignant neoplasm, overlapping lesion of larynx",1
66422,"Malignant neoplasm, overlapping lesion of nasopharynx",1
67497,"Malignant neoplasm, overlapping lesion of oesophagus",1
97875,"Malignant neoplasm, overlapping lesion of pancreas",1
52570,"Malignant neoplasm, overlapping lesion of penis",1
66166,"Malignant neoplasm, overlapping lesion of small intestine",1
51690,"Malignant neoplasm, overlapping lesion of stomach",1
50777,"Malignant neoplasm,overlap lesion periph nerve & auton ns",1
87113,"Malignant neoplasm-pluriglandular involvement,unspecified",1
43614,"Malignant neoplasm/bones+articular cartilage/limb,unspfd",1
67451,Malignant neoplasm/overlap lesion/bone+articulr cartilage,1
26454,Malignant neoplasm/overlapping lesion/feml genital organs,1
51352,Malignant neoplasms of independent (primary) multiple sites,1
65434,Malignant neoplasms of lymphoid and histiocytic tissue NOS,1
47205,Malignant overlapping lesion of tongue,1
22158,"Malignant plasma cell neoplasm, extramedullary plasmacytoma",1
62437,Malignant reticulosis,1
50152,Malignant sacral teratoma,1
104324,Malignant tumour of unknown origin,1
95545,Maltoma,1
104620,Mantle cell lymphoma,1
65721,Mast cell leukaemia,1
100615,Mast cell malignancy of lymph nodes inguinal region and leg,1
31324,Mast cell malignancy of lymph nodes of multiple sites,1
103900,Mast cell malignancy of unspecified site,1
57671,Megakaryocytic leukaemia,1
7484,Mesothelioma,1
101885,Mesothelioma of pericardium,1
17874,Mesothelioma of peritoneum,1
9600,Mesothelioma of pleura,1
6471,Metastases of respiratory and/or digestive systems,1
67700,Monoblastic leukaemia,1
35875,Monocytic leukaemia,1
93342,Monocytic leukaemia NOS,1
95715,Mucosa-associated lymphoma,1
4944,Multiple myeloma,1
37182,Multiple myeloma and immunoproliferative neoplasms,1
12006,Mycosis fungoides,1
38005,Mycosis fungoides NOS,1
91674,Mycosis fungoides of intra-abdominal lymph nodes,1
96379,Mycosis fungoides of lymph nodes of axilla and upper limb,1
72714,Mycosis fungoides of lymph nodes of inguinal region and leg,1
95012,Mycosis fungoides of lymph nodes of multiple sites,1
95949,Mycosis fungoides of unspecified site,1
104273,Myelodysplastic and myeloproliferative disease,1
7176,Myeloid leukaemia,1
33344,Myeloid leukaemia NOS,1
70724,Myeloid sarcoma,1
15211,Myelomatosis,1
20440,Myelomonocytic leukaemia,1
17056,Myeloproliferative disease,1
6115,Myeloproliferative disorder,1
39336,Myelosclerosis with myeloid metaplasia,1
100083,Neuroblastoma,1
5179,Nodular lymphoma (Brill - Symmers disease),1
65701,Nodular lymphoma NOS,1
92068,Nodular lymphoma of intra-abdominal lymph nodes,1
45264,"Nodular lymphoma of lymph nodes of head, face and neck",1
94995,Nodular lymphoma of lymph nodes of inguinal region and leg,1
58082,Nodular lymphoma of lymph nodes of multiple sites,1
66327,Nodular lymphoma of unspecified site,1
3604,Non - Hodgkin's lymphoma,1
104391,Non-Hodgkin lymphoma,1
4865,Oesophageal cancer,1
29735,Osteoma,1
19437,Osteosarcoma,1
44318,Oth and unspecif peripheral & cutaneous T-cell lymphomas,1
94174,Other and unspecified leukaemia,1
99413,Other and unspecified leukaemia NOS,1
104484,Other classical Hodgkin lymphoma,1
64567,Other immunoproliferative neoplasms,1
34692,Other leukaemia of unspecified cell type,1
49725,Other lymphoid leukaemia,1
38331,Other lymphoid leukaemia NOS,1
26034,Other malignant neoplasm NOS,1
33333,Other malignant neoplasm of lymphoid and histiocytic tissue,1
99015,Other monocytic leukaemia,1
103645,Other monocytic leukaemia NOS,1
66089,Other myeloid leukaemia NOS,1
37272,Other specified leukaemia,1
30632,Other specified leukaemia NOS,1
99887,Other specified reticulosarcoma or lymphosarcoma,1
31576,Other types of follicular non-Hodgkin's lymphoma,1
10314,Overlapping lesion of other and unspecified parts of mouth,1
101907,Overlapping malign lesion of retroperitoneum and peritoneum,1
96585,Overlapping malignant melanoma of skin,1
20170,Pancoast's syndrome,1
18676,Pathological fracture due to metastatic bone disease,1
12464,Peripheral T-cell lymphoma,1
18231,Phaeochromocytoma,1
39187,Plasma cell leukaemia,1
21329,Plasmacytoma NOS,1
68410,Primary angiosarcoma of liver,1
16126,Primary carcinoma of liver,1
25535,Primary malignant neoplasm of liver,1
44399,Primary malignant neoplasm of liver NOS,1
11035,Primary malignant neoplasm of unknown site,1
11991,Primary vulval cancer,1
31586,Prolymphocytic leukaemia,1
5901,Rectal carcinoma,1
18712,Renal malignant neoplasm,1
1481,Reticulosarcoma,1
99240,Reticulosarcoma NOS,1
70374,Reticulosarcoma of intra-abdominal lymph nodes,1
71031,"Reticulosarcoma of lymph nodes of head, face and neck",1
95058,Reticulosarcoma of spleen,1
60242,Reticulosarcoma of unspecified site,1
99951,Reticulosarcoma or lymphosarcoma NOS,1
12539,Sarcoma of bone and connective tissue,1
25366,Secondary and unspec malig neop ant mediastinal lymph nodes,1
44627,Secondary and unspec malig neop anterior cervical LN,1
50199,Secondary and unspec malig neop axilla and upper limb LN,1
73538,Secondary and unspec malig neop axilla and upper limb LN NOS,1
37540,Secondary and unspec malig neop axillary lymph nodes,1
62124,Secondary and unspec malig neop bronchopulmonary lymph nodes,1
101662,Secondary and unspec malig neop circumflex iliac LN,1
41691,Secondary and unspec malig neop coeliac lymph nodes,1
18658,Secondary and unspec malig neop common iliac lymph nodes,1
68611,Secondary and unspec malig neop deep cervical LN,1
61289,Secondary and unspec malig neop deep inguinal lymph nodes,1
92703,Secondary and unspec malig neop deep parotid lymph nodes,1
95378,Secondary and unspec malig neop diaphragmatic lymph nodes,1
69132,Secondary and unspec malig neop external iliac lymph nodes,1
61677,Secondary and unspec malig neop inferior mesenteric LN,1
69392,Secondary and unspec malig neop inferior tracheobronchial LN,1
50904,Secondary and unspec malig neop infraclavicular lymph nodes,1
63915,Secondary and unspec malig neop inguinal and lower limb LN,1
84368,Secondary and unspec malig neop internal iliac lymph nodes,1
37919,Secondary and unspec malig neop internal mammary lymph nodes,1
44931,Secondary and unspec malig neop intra-abdominal LN NOS,1
52736,Secondary and unspec malig neop intra-abdominal lymph nodes,1
72803,Secondary and unspec malig neop intrapelvic LN NOS,1
6701,Secondary and unspec malig neop intrapelvic lymph nodes,1
93716,Secondary and unspec malig neop intrathoracic LN NOS,1
64116,Secondary and unspec malig neop intrathoracic lymph nodes,1
15507,Secondary and unspec malig neop lymph nodes NOS,1
49214,Secondary and unspec malig neop lymph nodes head/face/neck,1
20159,Secondary and unspec malig neop lymph nodes multiple sites,1
28059,Secondary and unspec malig neop of facial lymph nodes,1
70747,Secondary and unspec malig neop of inguinal and leg LN NOS,1
64918,Secondary and unspec malig neop of superficial parotid LN,1
58692,Secondary and unspec malig neop paratracheal lymph nodes,1
46409,Secondary and unspec malig neop pectoral lymph nodes,1
55463,Secondary and unspec malig neop post mediastinal lymph nodes,1
52190,Secondary and unspec malig neop pulmonary lymph nodes,1
47366,Secondary and unspec malig neop sacral lymph nodes,1
39433,Secondary and unspec malig neop submandibular lymph nodes,1
38343,Secondary and unspec malig neop submental lymph nodes,1
67797,Secondary and unspec malig neop superfic tracheobronchial LN,1
33395,Secondary and unspec malig neop superficial cervical LN,1
54278,Secondary and unspec malig neop superficial inguinal LN,1
72713,Secondary and unspec malig neop superficial mesenteric LN,1
98626,Secondary and unspec malig neop supratrochlear lymph nodes,1
66775,Secondary and unspec malignant neoplasm mastoid lymph nodes,1
65253,Secondary and unspec malignant neoplasm occipital lymph node,1
9618,Secondary and unspecified malignant neoplasm of lymph nodes,1
97832,Secondary cancer of the cervix,1
65490,Secondary cancer of the vulva,1
27651,Secondary carcinoma of other specified sites,1
24301,Secondary carcinoma of respiratory and/or digestive systems,1
36200,Secondary malig neop of large intestine or rectum NOS,1
35053,Secondary malig neop of respiratory and digestive systems,1
66083,Secondary malig neop of respiratory or digestive system NOS,1
67396,Secondary malig neop of retroperitoneum and peritoneum,1
97672,Secondary malig neop of retroperitoneum or peritoneum NOS,1
70026,Secondary malig neop of small intestine or duodenum NOS,1
36401,Secondary malignant neoplasm of adrenal gland,1
22146,Secondary malignant neoplasm of bladder,1
7654,Secondary malignant neoplasm of bone and bone marrow,1
5198,Secondary malignant neoplasm of brain,1
33843,Secondary malignant neoplasm of brain and spinal cord,1
59375,Secondary malignant neoplasm of brain or spinal cord NOS,1
16760,Secondary malignant neoplasm of breast,1
73616,Secondary malignant neoplasm of cervix uteri,1
28727,Secondary malignant neoplasm of colon,1
55946,Secondary malignant neoplasm of duodenum,1
104480,Secondary malignant neoplasm of epididymis and vas deferens,1
99511,Secondary malignant neoplasm of ileum,1
1952,Secondary malignant neoplasm of kidney,1
44529,Secondary malignant neoplasm of large intestine and rectum,1
15103,Secondary malignant neoplasm of liver,1
36147,Secondary malignant neoplasm of liver,1
4137,Secondary malignant neoplasm of lung,1
51551,Secondary malignant neoplasm of mediastinum,1
56345,Secondary malignant neoplasm of other digestive organ,1
54120,Secondary malignant neoplasm of other part of nervous system,1
62584,Secondary malignant neoplasm of other respiratory organs,1
16500,Secondary malignant neoplasm of other specified site NOS,1
22524,Secondary malignant neoplasm of other specified site NOS,1
5842,Secondary malignant neoplasm of other specified sites,1
18616,Secondary malignant neoplasm of other specified sites,1
62828,Secondary malignant neoplasm of other urinary organ NOS,1
73213,Secondary malignant neoplasm of other urinary organs,1
44615,Secondary malignant neoplasm of ovary,1
49145,Secondary malignant neoplasm of penis,1
27391,Secondary malignant neoplasm of peritoneum,1
16213,Secondary malignant neoplasm of pleura,1
21590,Secondary malignant neoplasm of prostate,1
62909,Secondary malignant neoplasm of rectum,1
35364,Secondary malignant neoplasm of retroperitoneum,1
19945,Secondary malignant neoplasm of skin,1
55096,Secondary malignant neoplasm of skin NOS,1
9505,Secondary malignant neoplasm of skin of breast,1
100296,Secondary malignant neoplasm of skin of face,1
43930,Secondary malignant neoplasm of skin of head,1
48828,Secondary malignant neoplasm of skin of hip and leg,1
35999,Secondary malignant neoplasm of skin of neck,1
63896,Secondary malignant neoplasm of skin of shoulder and arm,1
41144,Secondary malignant neoplasm of skin of trunk,1
64680,Secondary malignant neoplasm of small intestine and duodenum,1
38918,Secondary malignant neoplasm of spinal cord,1
34145,Secondary malignant neoplasm of testis,1
45824,Secondary malignant neoplasm of tongue,1
54679,Secondary malignant neoplasm of unknown site,1
60134,Secondary malignant neoplasm of ureter,1
53528,Secondary malignant neoplasm of urethra,1
55090,Secondary malignant neoplasm of uterus,1
70736,Secondary malignant neoplasm of vagina,1
60335,Secondary malignant neoplasm of vulva,1
67129,Secondary unspec malig neop lymph nodes head/face/neck NOS,1
21786,Seminoma of descended testis,1
2961,Seminoma of testis,1
7740,Seminoma of undescended testis,1
35014,Sezary's disease,1
100532,Sezary's disease NOS,1
98142,Siewert type I adenocarcinoma,1
97499,Siewert type II adenocarcinoma,1
96094,Siewert type III adenocarcinoma,1
104386,Small cell B-cell lymphoma,1
19028,Solitary myeloma,1
104418,Solitary plasmacytoma,1
54793,Subacute leukaemia NOS,1
72774,Subacute lymphoid leukaemia,1
101606,Subacute monocytic leukaemia,1
63475,Subacute myeloid leukaemia,1
104475,Subacute myelomonocytic leukaemia,1
90201,T-zone lymphoma,1
9476,Teratoma of descended testis,1
15989,Teratoma of testis,1
36325,Teratoma of undescended testis,1
65777,Thrombocytic leukaemia,1
95630,True histiocytic lymphoma,1
103353,Unspec malig neop lymphoid/histiocytic intra-abdominal nodes,1
64427,Unspec malig neop lymphoid/histiocytic lymph node head/neck,1
71609,Unspec malig neop lymphoid/histiocytic nodes inguinal/leg,1
93384,Unspec malig neop lymphoid/histiocytic of intrathoracic node,1
101465,Unspec malig neop lymphoid/histiocytic of multiple sites,1
31794,Unspecified B-cell non-Hodgkin's lymphoma,1
97091,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs,1
68332,[X]2ndry malignant neoplasm/oth+unspec parts/nervous system,1
66163,[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions,1
60053,[X]Additional neoplasm classification terms,1
64515,"[X]Diffuse non-Hodgkin's lymphoma, unspecified",1
98361,[X]Kaposi's sarcoma of other sites,1
93665,"[X]Kaposi's sarcoma, unspecified",1
91896,"[X]Mal neoplasm/connective+soft tissue of trunk,unspecified",1
72500,"[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf",1
47633,"[X]Malig neopl, overlap lesion brain & other part of CNS",1
