medcodeid,term,t2d
84941000006115,Type II diabetes mellitus with neuropathic arthropathy,1
459312014,Type II diabetes mellitus with neuropathic arthropathy,1
459313016,Type II diabetes mellitus with neuropathic arthropathy,1
84571000006115,Type II diabetes mellitus with neuropathic arthropathy,1
459308015,Type II diabetes mellitus with peripheral angiopathy,1
84961000006116,Type II diabetes mellitus with peripheral angiopathy,1
280561000006111,Type II diabetes mellitus with peripheral angiopathy,1
84591000006119,Type II diabetes mellitus with peripheral angiopathy,1
459306016,Type II diabetes mellitus with peripheral angiopathy,1
1658901000000118,Type II diabetic dietary review (regime/therapy),1
1665721000000112,Type II diabetic dietary review (regime/therapy),1
9313441000006115,Ulcer of left foot co-occurrent and due to diabetes mellitus type 2 (disorder),1
