medcodeid,readterm,cancer
289670010,"Hodgkin's disease, mixed cellularity of unspecified site",1
1220414014,"Hodgkin's disease, nodular sclerosis",1
289669014,"Hodgkin's disease, nodular sclerosis NOS",1
154811011,"Hodgkin's disease, nodular sclerosis of spleen",1
289660013,"Hodgkin's disease, nodular sclerosis of unspecified site",1
2663476014,Hodgkin's granuloma,1
289638010,Hodgkin's granuloma NOS,1
826361000006117,Hodgkin's granuloma lymph nodes of inguinal region and leg,1
289632011,Hodgkin's granuloma of intra-abdominal lymph nodes,1
154837014,Hodgkin's granuloma of intrapelvic lymph nodes,1
154838016,Hodgkin's granuloma of intrathoracic lymph nodes,1
289633018,Hodgkin's granuloma of lymph nodes of axilla and upper limb,1
289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck",1
289637017,Hodgkin's granuloma of lymph nodes of multiple sites,1
154846015,Hodgkin's granuloma of spleen,1
289628017,Hodgkin's granuloma of unspecified site,1
826461000006111,Hodgkin's lymphocytic depletion intra-abdominal lymph nodes,1
826471000006116,Hodgkin's lymphocytic depletion lymph nodes axilla and arm,1
826481000006118,Hodgkin's lymphocytic depletion lymph nodes inguinal and leg,1
826491000006115,Hodgkin's lymphocytic depletion lymph nodes multiple sites,1
826501000006111,"Hodgkin's lymphocytic depletion of head, face and neck",1
826511000006114,Hodgkin's lymphocytic depletion of intrapelvic lymph nodes,1
826521000006118,Hodgkin's lymphocytic depletion of intrathoracic lymph nodes,1
289680014,Hodgkin's lymphocytic depletion of unspecified site,1
826541000006113,Hodgkin's mixed cellularity of intra-abdominal lymph nodes,1
826551000006110,Hodgkin's mixed cellularity of intrapelvic lymph nodes,1
826561000006112,Hodgkin's mixed cellularity of intrathoracic lymph nodes,1
826571000006117,"Hodgkin's mixed cellularity of lymph nodes head, face, neck",1
826581000006119,Hodgkin's mixed cellularity of lymph nodes inguinal and leg,1
826591000006116,Hodgkin's mixed cellularity of lymph nodes of axilla and arm,1
826601000006112,Hodgkin's mixed cellularity of lymph nodes of multiple sites,1
826611000006110,"Hodgkin's nodular sclerosis of head, face and neck",1
826621000006119,Hodgkin's nodular sclerosis of inguinal region and leg,1
826631000006116,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes,1
826641000006114,Hodgkin's nodular sclerosis of intrapelvic lymph nodes,1
826651000006111,Hodgkin's nodular sclerosis of intrathoracic lymph nodes,1
826661000006113,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm,1
826671000006118,Hodgkin's nodular sclerosis of lymph nodes of multiple sites,1
826681000006115,Hodgkin's paragranuloma,1
289627010,Hodgkin's paragranuloma NOS,1
826691000006117,Hodgkin's paragranuloma lymph nodes inguinal region and leg,1
289621011,Hodgkin's paragranuloma of intra-abdominal lymph nodes,1
289624015,Hodgkin's paragranuloma of intrapelvic lymph nodes,1
289618014,Hodgkin's paragranuloma of intrathoracic lymph nodes,1
826741000006115,Hodgkin's paragranuloma of lymph nodes of axilla and arm,1
826751000006118,"Hodgkin's paragranuloma of lymph nodes of head, face, neck",1
289626018,Hodgkin's paragranuloma of lymph nodes of multiple sites,1
154859011,Hodgkin's paragranuloma of spleen,1
289616013,Hodgkin's paragranuloma of unspecified site,1
2663376010,Hodgkin's sarcoma,1
289648012,Hodgkin's sarcoma NOS,1
154862014,Hodgkin's sarcoma of intra-abdominal lymph nodes,1
154863016,Hodgkin's sarcoma of intrapelvic lymph nodes,1
154864010,Hodgkin's sarcoma of intrathoracic lymph nodes,1
289643015,Hodgkin's sarcoma of lymph nodes of axilla and upper limb,1
289640017,"Hodgkin's sarcoma of lymph nodes of head, face and neck",1
826861000006114,Hodgkin's sarcoma of lymph nodes of inguinal region and leg,1
289647019,Hodgkin's sarcoma of lymph nodes of multiple sites,1
154872012,Hodgkin's sarcoma of spleen,1
289639019,Hodgkin's sarcoma of unspecified site,1
826901000006119,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm",1
826911000006116,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg",1
826921000006112,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node",1
826931000006110,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes",1
826941000006117,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes",1
826951000006115,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck",1
826961000006118,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites",1
289659015,"Hodgkin's, lymphocytic-histiocytic predominance NOS",1
289657018,"Hodgkin's, lymphocytic-histiocytic predominance of spleen",1
826991000006114,"Hodgkin's, lymphocytic-histiocytic predominance unspec site",1
143288017,Human immunodeficiency virus infection,1
287020019,Human immunodeficiency virus with other clinical findings,1
287014015,Human immunodeficiency virus with secondary cancers,1
289288012,Hypernephroma,1
787791000006118,I131 radiotherapy,1
262907016,Infrared therapy NOS,1
174577011,Intraductal carcinoma in situ of breast,1
394637016,Intramuscular chemotherapy,1
877611000006114,Intramuscular drug injection,1
768601000006119,Intramuscular drug therapy,1
768011000006114,Intrathecal chemotherapy,1
394636013,Intravenous chemotherapy,1
768321000006115,Intravenous drug therapy,1
767711000006113,Intravesical install chemotherapeutic agent for malignancy,1
759311000006114,Iodine 131 radiotherapy,1
1488620012,Iodine seed radiotherapy,1
2871720012,Juvenile myelomonocytic leukaemia,1
344818012,Kahler's disease,1
173950019,Kaposi's sarcoma of lymph nodes,1
755631000006110,Kaposi's sarcoma of multiple organs,1
173946014,Kaposi's sarcoma of palate,1
173944012,Kaposi's sarcoma of skin,1
289008015,Kaposi's sarcoma of soft tissue,1
755671000006113,"Kaposi's sarcoma, unspecified",1
457317011,Lambda light chain myeloma,1
967761000006115,Langerhans' cell histiocytosis,1
1773161000006114,Large cell carcinoma of lung,1
745971000006116,Letterer-Siwe disease,1
289780018,Letterer-Siwe disease NOS,1
154080016,Letterer-Siwe disease of intra-abdominal lymph nodes,1
154081017,Letterer-Siwe disease of intrapelvic lymph nodes,1
154082012,Letterer-Siwe disease of intrathoracic lymph nodes,1
746021000006112,Letterer-Siwe disease of lymph nodes inguinal region and leg,1
746031000006110,Letterer-Siwe disease of lymph nodes of axilla and arm,1
746041000006117,"Letterer-Siwe disease of lymph nodes of head, face and neck",1
154089015,Letterer-Siwe disease of lymph nodes of multiple sites,1
154090012,Letterer-Siwe disease of spleen,1
289776011,Letterer-Siwe disease of unspecified sites,1
880921000006117,Leukaemia - specif. cell NOS,1
988791000006114,Leukaemia - specif. cell NOS,1
880911000006113,Leukaemia - specif.cell type,1
880971000006116,Leukaemia - unspec. cell NOS,1
880941000006112,Leukaemia - unspec. cell acute,1
880931000006119,Leukaemia - unspecified cell,1
880951000006114,Leukaemia -unspec.cell chronic,1
289972016,Leukaemia NOS,1
289963012,Leukaemia of unspecified cell type,1
880961000006111,Leukaemia-unspec.cell subacute,1
746301000006117,Leukaemic reticuloend of intra-abdominal lymph nodes,1
746311000006119,Leukaemic reticuloend of lymph nodes inguinal region and leg,1
747131000006114,Leukaemic reticuloend of lymph nodes of axilla and arm,1
747141000006116,"Leukaemic reticuloend of lymph nodes of head, face and neck",1
744991000006119,Leukaemic reticuloend of lymph nodes of multiple sites,1
745001000006114,Leukaemic reticuloendotheliosis,1
745011000006112,Leukaemic reticuloendotheliosis,1
289773015,Leukaemic reticuloendotheliosis NOS,1
510217015,Leukaemic reticuloendotheliosis of intrapelvic lymph nodes,1
510218013,Leukaemic reticuloendotheliosis of intrathoracic lymph nodes,1
289769018,Leukaemic reticuloendotheliosis of spleen,1
289756017,Leukaemic reticuloendotheliosis of unspecified sites,1
879681000006114,Lip carcinoma,1
739801000006115,Liver metastases,1
174576019,Lobular carcinoma in situ of breast,1
1803781000006110,Local recurrence of malignant tumour of breast,1
459378019,Local recurrence of malignant tumour of breast,1
1803771000006112,Local recurrence of malignant tumour of urinary bladder,1
459399016,Local recurrence of malignant tumour of urinary bladder,1
733371000006119,Lung cancer,1
861611000006111,Lung tumour excision,1
732441000006113,Lymph node metastases,1
289875015,Lymphatic leukaemia,1
988781000006111,Lymphatic tissue Ca NOS,1
880981000006118,Lymphatic tissue Ca NOS,1
988771000006113,Lymphatic tissue carcinoma,1
880781000006115,Lymphatic tissue carcinoma,1
2168691000000110,Lymphoblastic (diffuse) lymphoma,1
1815071000006113,Lymphocyte depleted classical Hodgkin lymphoma,1
2870724014,Lymphocyte-rich classical Hodgkin lymphoma,1
344670010,Lymphoepithelioid lymphoma,1
403710016,Lymphoid and histiocytic malignancy NOS,1
289876019,Lymphoid leukaemia,1
880821000006114,Lymphoid leukaemia - acute,1
880831000006112,Lymphoid leukaemia - chronic,1
880841000006119,Lymphoid leukaemia - subacute,1
289889013,Lymphoid leukaemia NOS,1
50949017,Lymphoma stage I,1
126918018,Lymphoma stage II,1
94699019,Lymphoma stage III,1
110346017,Lymphoma stage IV,1
845051000006111,Lymphoma staging system,1
51959012,Lymphomatoid papulosis,1
289591011,Lymphosarcoma,1
289601010,Lymphosarcoma NOS,1
289580016,Lymphosarcoma and reticulosarcoma,1
731621000006113,Lymphosarcoma cell leukaemia,1
289595019,Lymphosarcoma of intra-abdominal lymph nodes,1
289598017,Lymphosarcoma of intrapelvic lymph nodes,1
289594015,Lymphosarcoma of intrathoracic lymph nodes,1
289596018,Lymphosarcoma of lymph nodes of axilla and upper limb,1
289593014,"Lymphosarcoma of lymph nodes of head, face and neck",1
731691000006110,Lymphosarcoma of lymph nodes of inguinal region and leg,1
289600011,Lymphosarcoma of lymph nodes of multiple sites,1
289599013,Lymphosarcoma of spleen,1
289592016,Lymphosarcoma of unspecified site,1
2971579012,Lynch syndrome,1
293377011,Macroglobulinaemia,1
293384015,Macroglobulinaemia NOS,1
730491000006117,"Mal neoplasm/periph nerves+autonomic nervous system,unspc",1
730001000006117,"Malig neo, overlapping lesion of heart, mediastinum & pleura",1
730011000006119,"Malig neop auditory tube, middle ear and mastoid air cells",1
730021000006110,"Malig neop auditory tube, middle ear, mastoid air cells NOS",1
730031000006113,"Malig neop connective and soft tissue head, face, neck NOS",1
730241000006113,Malig neop connective and soft tissue hip and leg NOS,1
730251000006110,Malig neop connective and soft tissue of popliteal space,1
729281000006113,Malig neop connective and soft tissue other specified site,1
729291000006111,Malig neop connective and soft tissue upper limb/shoulder,1
729301000006112,Malig neop connective soft tissue upper limb/shoulder NOS,1
729311000006110,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid",1
729321000006119,"Malig neop nasal cavities, middle ear and accessory sinuses",1
729331000006116,"Malig neop of bone, connective tissue, skin and breast",1
729341000006114,"Malig neop of bone, connective tissue, skin and breast NOS",1
729351000006111,"Malig neop of bone, connective tissue, skin and breast OS",1
729361000006113,"Malig neop of connective and soft tissue head, face and neck",1
729371000006118,Malig neop of connective and soft tissue of abdomen NOS,1
729381000006115,Malig neop of connective and soft tissue of abdominal wall,1
729391000006117,Malig neop of connective and soft tissue of great toe,1
729401000006115,Malig neop of connective and soft tissue of hip and leg,1
729411000006117,Malig neop of connective and soft tissue of inguinal region,1
729421000006113,Malig neop of connective and soft tissue of lower leg,1
729431000006111,Malig neop of connective and soft tissue of pelvis NOS,1
729441000006118,Malig neop of connective and soft tissue of thorax NOS,1
729451000006116,Malig neop of connective and soft tissue thigh and upper leg,1
729461000006119,Malig neop of connective and soft tissue trunk unspecified,1
729471000006114,Malig neop of endocrine gland or related structure NOS,1
729481000006112,Malig neop of kidney and other unspecified urinary organs,1
729491000006110,Malig neop of other and unspecified female genital organs,1
729501000006119,Malig neop of other and unspecified parts of nervous system,1
729511000006116,Malig neop of other endocrine glands and related structures,1
729521000006112,"Malig neop of other site of heart, thymus and mediastinum",1
729531000006110,Malig neop of respiratory tract and intrathoracic organs,1
729541000006117,Malig neop of scapula and long bones of upper arm NOS,1
729551000006115,"Malig neop of upper respiratory tract, part unspecified",1
729561000006118,Malig neop oth/ill-defined sites digestive tract/peritoneum,1
729571000006113,"Malig neop other site nasal cavity, middle ear and sinuses",1
729581000006111,"Malig neop other site rectum, rectosigmoid junction and anus",1
729591000006114,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",1
729601000006118,Malig neop other/ill-defined sites resp/intrathoracic organs,1
730041000006115,Malig neop pituitary gland or craniopharyngeal duct NOS,1
729611000006115,Malig neop skin of ear and external auricular canal NOS,1
728451000006110,Malig neopl of connective and soft tissue - sacrum or coccyx,1
728461000006112,Malig neopl peripheral nerves and autonomic nervous system,1
728471000006117,"Malig neopl, overlap lesion brain & other part of CNS",1
728481000006119,Malig neoplasm of connective and soft tissues of lumb spine,1
728491000006116,Malig neoplasm of connective and soft tissues of thor spine,1
353772013,Malignant ascites,1
445586018,Malignant histiocytosis,1
289754019,Malignant histiocytosis NOS,1
154183017,Malignant histiocytosis of intra-abdominal lymph nodes,1
154184011,Malignant histiocytosis of intrapelvic lymph nodes,1
154185012,Malignant histiocytosis of intrathoracic lymph nodes,1
728571000006118,"Malignant histiocytosis of lymph nodes head, face and neck",1
728581000006115,Malignant histiocytosis of lymph nodes inguinal and leg,1
728591000006117,Malignant histiocytosis of lymph nodes of axilla and arm,1
154192019,Malignant histiocytosis of lymph nodes of multiple sites,1
154193012,Malignant histiocytosis of spleen,1
289750011,Malignant histiocytosis of unspecified site,1
289826016,Malignant immunoproliferative small intestinal disease,1
289829011,Malignant lymphoma NOS,1
728721000006111,Malignant lymphoma NOS,1
289842011,Malignant lymphoma NOS of intra-abdominal lymph nodes,1
289845013,Malignant lymphoma NOS of intrapelvic lymph nodes,1
289832014,Malignant lymphoma NOS of intrathoracic lymph nodes,1
728771000006112,Malignant lymphoma NOS of lymph node inguinal region and leg,1
728781000006110,Malignant lymphoma NOS of lymph nodes of axilla and arm,1
289831019,"Malignant lymphoma NOS of lymph nodes of head, face and neck",1
289847017,Malignant lymphoma NOS of lymph nodes of multiple sites,1
289846014,Malignant lymphoma NOS of spleen,1
289830018,Malignant lymphoma NOS of unspecified site,1
289820010,Malignant lymphoma otherwise specified,1
289793011,Malignant mast cell tumour NOS,1
289781019,Malignant mast cell tumours,1
289052011,Malignant melanoma of ankle,1
289012014,Malignant melanoma of auricle (ear),1
289028016,Malignant melanoma of axilla,1
454085011,Malignant melanoma of back,1
289029012,Malignant melanoma of breast,1
289030019,Malignant melanoma of buttock,1
457109011,Malignant melanoma of chest wall,1
289017015,Malignant melanoma of chin,1
1694781000006115,Malignant melanoma of choroid,1
289011019,Malignant melanoma of ear and external auricular canal,1
289014010,Malignant melanoma of ear and external auricular canal NOS,1
289013016,Malignant melanoma of external auditory meatus,1
1235785014,Malignant melanoma of external surface of cheek,1
1235798017,Malignant melanoma of external surface of nose,1
409844012,Malignant melanoma of eye,1
1235786010,Malignant melanoma of eyebrow,1
728201000006110,Malignant melanoma of eyelid including canthus,1
289022015,Malignant melanoma of face NOS,1
289043019,Malignant melanoma of finger,1
289054012,Malignant melanoma of foot,1
289041017,Malignant melanoma of fore-arm,1
289019017,Malignant melanoma of forehead,1
289056014,Malignant melanoma of great toe,1
289031015,Malignant melanoma of groin,1
289042012,Malignant melanoma of hand,1
289053018,Malignant melanoma of heel,1
289047018,Malignant melanoma of hip,1
1697891000006116,Malignant melanoma of iris,1
289049015,Malignant melanoma of knee,1
289009011,Malignant melanoma of lip,1
289051016,Malignant melanoma of lower leg,1
289046010,Malignant melanoma of lower limb and hip,1
289057017,Malignant melanoma of lower limb or hip NOS,1
289025018,Malignant melanoma of neck,1
289015011,Malignant melanoma of other and unspecified parts of face,1
289060012,Malignant melanoma of other specified skin site,1
154231019,Malignant melanoma of perianal skin,1
289033017,Malignant melanoma of perineum,1
289050015,Malignant melanoma of popliteal fossa area,1
289024019,Malignant melanoma of scalp,1
289023013,Malignant melanoma of scalp and neck,1
289026017,Malignant melanoma of scalp and neck NOS,1
289039018,Malignant melanoma of shoulder,1
155060012,Malignant melanoma of skin,1
289063014,Malignant melanoma of skin NOS,1
289021010,Malignant melanoma of temple,1
1694771000006118,Malignant melanoma of the cilary body,1
289048011,Malignant melanoma of thigh,1
289044013,Malignant melanoma of thumb,1
289055013,Malignant melanoma of toe,1
289027014,Malignant melanoma of trunk (excluding scrotum),1
289037016,"Malignant melanoma of trunk, excluding scrotum, NOS",1
289034011,Malignant melanoma of umbilicus,1
289040016,Malignant melanoma of upper arm,1
727731000006113,Malignant melanoma of upper limb and shoulder,1
289045014,Malignant melanoma of upper limb or shoulder NOS,1
2438511000000112,Malignant melanoma stage IA,1
2438551000000111,Malignant melanoma stage IB,1
2438591000000115,Malignant melanoma stage IIA,1
2438631000000115,Malignant melanoma stage IIB,1
2438671000000118,Malignant melanoma stage IIC,1
2438711000000117,Malignant melanoma stage IIIA,1
2438751000000118,Malignant melanoma stage IIIB,1
2438791000000114,Malignant melanoma stage IIIC,1
2438871000000117,Malignant melanoma stage IV M1a,1
2438911000000115,Malignant melanoma stage IV M1b,1
2438951000000116,Malignant melanoma stage IV M1c,1
881281000006116,Malignant neoplasm NOS,1
988801000006110,Malignant neoplasm NOS,1
727761000006116,"Malignant neoplasm aryepiglottic fold, hypopharyngeal aspect",1
727771000006111,Malignant neoplasm cerebrum (excluding lobes and ventricles),1
727781000006114,Malignant neoplasm gallbladder and extrahepatic bile ducts,1
727791000006112,Malignant neoplasm gallbladder/extrahepatic bile ducts NOS,1
289987014,Malignant neoplasm lymphatic or haematopoietic tissue NOS,1
727811000006111,Malignant neoplasm lymphatic or haematopoietic tissue OS,1
289206014,Malignant neoplasm of Gartner's duct,1
288727010,Malignant neoplasm of Islets of Langerhans,1
288659012,Malignant neoplasm of Meckel's diverticulum,1
288578017,Malignant neoplasm of Waldeyer's ring,1
289441010,Malignant neoplasm of abdomen,1
288597017,Malignant neoplasm of abdominal oesophagus,1
288792014,Malignant neoplasm of accessory sinus NOS,1
727841000006110,Malignant neoplasm of acoustic nerve,1
155068017,Malignant neoplasm of acromion,1
288533015,Malignant neoplasm of adenoid,1
1210553016,Malignant neoplasm of adrenal cortex,1
155072018,Malignant neoplasm of adrenal gland,1
289406011,Malignant neoplasm of adrenal gland NOS,1
1210554010,Malignant neoplasm of adrenal medulla,1
727911000006116,Malignant neoplasm of ampulla of Vater,1
155076015,Malignant neoplasm of anal canal,1
288414010,Malignant neoplasm of anterior 2/3 of tongue dorsal surface,1
288430019,Malignant neoplasm of anterior 2/3 of tongue unspecified,1
288423013,Malignant neoplasm of anterior 2/3 of tongue ventral surface,1
288506019,Malignant neoplasm of anterior epiglottis,1
288509014,Malignant neoplasm of anterior epiglottis NOS,1
155078019,Malignant neoplasm of anterior mediastinum,1
288443019,Malignant neoplasm of anterior portion of floor of mouth,1
288552014,Malignant neoplasm of anterior wall of nasopharynx,1
288561014,Malignant neoplasm of anterior wall of nasopharynx NOS,1
288653013,Malignant neoplasm of anterior wall of stomach NEC,1
289271017,Malignant neoplasm of anterior wall of urinary bladder,1
288685011,Malignant neoplasm of anus unspecified,1
155085015,Malignant neoplasm of aortic body,1
289413011,Malignant neoplasm of aortic body and other paraganglia,1
289419010,Malignant neoplasm of aortic body or paraganglia NOS,1
727281000006117,Malignant neoplasm of appendix,1
155089014,Malignant neoplasm of areola of female breast,1
155090017,Malignant neoplasm of areola of male breast,1
288799017,Malignant neoplasm of arytenoid cartilage,1
727321000006111,Malignant neoplasm of ascending colon,1
288779011,Malignant neoplasm of auditory (Eustachian) tube,1
289435015,Malignant neoplasm of axilla NOS,1
289146012,Malignant neoplasm of axillary tail of female breast,1
289449012,Malignant neoplasm of back NOS,1
289337012,Malignant neoplasm of basal ganglia,1
727381000006110,Malignant neoplasm of base of tongue,1
288411019,Malignant neoplasm of base of tongue dorsal surface,1
289275014,Malignant neoplasm of bladder neck,1
288717016,Malignant neoplasm of body of pancreas,1
289246015,Malignant neoplasm of body of penis,1
288647013,Malignant neoplasm of body of stomach,1
1210561014,Malignant neoplasm of body of uterus,1
289198014,Malignant neoplasm of body of uterus NOS,1
403691010,Malignant neoplasm of bone and articular cartilage,1
288959010,Malignant neoplasm of bone and articular cartilage NOS,1
288869015,Malignant neoplasm of bones of skull and face,1
288883018,Malignant neoplasm of bones of skull and face NOS,1
2692069010,Malignant neoplasm of brain,1
289365014,Malignant neoplasm of brain NOS,1
727511000006114,Malignant neoplasm of brain stem,1
727521000006118,Malignant neoplasm of brain stem NOS,1
727531000006115,Malignant neoplasm of branchial cleft,1
155155010,Malignant neoplasm of broad ligament,1
403689019,Malignant neoplasm of bronchus or lung NOS,1
727561000006112,Malignant neoplasm of buccal mucosa,1
1216464010,Malignant neoplasm of caecum,1
288941012,Malignant neoplasm of calcaneum,1
454201010,Malignant neoplasm of canthus,1
288625013,Malignant neoplasm of cardia of stomach,1
288633014,Malignant neoplasm of cardia of stomach NOS,1
288628010,Malignant neoplasm of cardiac orifice of stomach,1
288632016,Malignant neoplasm of cardio-oesophageal junction of stomach,1
288813012,Malignant neoplasm of carina of bronchus,1
155168019,Malignant neoplasm of carotid body,1
288915018,Malignant neoplasm of carpal bone - capitate,1
288916017,Malignant neoplasm of carpal bone - hamate,1
288910011,Malignant neoplasm of carpal bone - lunate,1
288912015,Malignant neoplasm of carpal bone - pisiform,1
288909018,Malignant neoplasm of carpal bone - scaphoid,1
288913013,Malignant neoplasm of carpal bone - trapezium,1
288914019,Malignant neoplasm of carpal bone - trapezoid,1
288911010,Malignant neoplasm of carpal bone - triquetrum,1
380145016,Malignant neoplasm of carpal bones,1
288962013,Malignant neoplasm of cartilage of ear,1
288771014,Malignant neoplasm of cartilage of nose,1
288809017,Malignant neoplasm of cartilage of trachea,1
482741013,Malignant neoplasm of cauda equina,1
289141019,Malignant neoplasm of central part of female breast,1
155175018,Malignant neoplasm of cerebellum,1
289376013,Malignant neoplasm of cerebral arachnoid mater,1
289338019,Malignant neoplasm of cerebral cortex,1
289375012,Malignant neoplasm of cerebral dura mater,1
482737014,Malignant neoplasm of cerebral meninges,1
289379018,Malignant neoplasm of cerebral meninges NOS,1
289355015,Malignant neoplasm of cerebral peduncle,1
289378014,Malignant neoplasm of cerebral pia mater,1
289354016,Malignant neoplasm of cerebral ventricle NOS,1
482734019,Malignant neoplasm of cerebral ventricles,1
289346018,Malignant neoplasm of cerebrum NOS,1
288589012,Malignant neoplasm of cervical oesophagus,1
289179012,Malignant neoplasm of cervical stump,1
288885013,Malignant neoplasm of cervical vertebra,1
1228493018,Malignant neoplasm of cervix uteri,1
289182019,Malignant neoplasm of cervix uteri NOS,1
289426010,Malignant neoplasm of cheek NOS,1
727151000006117,Malignant neoplasm of cheek mucosa,1
289436019,Malignant neoplasm of chest wall NOS,1
727181000006113,Malignant neoplasm of choroid,1
289352017,Malignant neoplasm of choroid plexus,1
289308013,Malignant neoplasm of ciliary body,1
155191015,Malignant neoplasm of clavicle,1
1210566016,Malignant neoplasm of clitoris,1
174518012,Malignant neoplasm of cloacogenic zone,1
155193017,Malignant neoplasm of coccygeal body,1
288929017,Malignant neoplasm of coccygeal vertebra,1
726331000006111,Malignant neoplasm of colon,1
403682011,Malignant neoplasm of colon NOS,1
726351000006116,Malignant neoplasm of commissure of lip,1
726361000006119,Malignant neoplasm of common bile duct,1
726371000006114,Malignant neoplasm of conjunctiva,1
288960017,Malignant neoplasm of connective and other soft tissue,1
288991011,Malignant neoplasm of connective and soft tissue of abdomen,1
288986010,Malignant neoplasm of connective and soft tissue of axilla,1
288999013,Malignant neoplasm of connective and soft tissue of buttock,1
288971016,Malignant neoplasm of connective and soft tissue of finger,1
288979019,Malignant neoplasm of connective and soft tissue of foot,1
288969016,Malignant neoplasm of connective and soft tissue of fore-arm,1
288970015,Malignant neoplasm of connective and soft tissue of hand,1
288975013,Malignant neoplasm of connective and soft tissue of hip,1
288995019,Malignant neoplasm of connective and soft tissue of pelvis,1
289001014,Malignant neoplasm of connective and soft tissue of perineum,1
288967019,Malignant neoplasm of connective and soft tissue of shoulder,1
288985014,Malignant neoplasm of connective and soft tissue of thorax,1
288972011,Malignant neoplasm of connective and soft tissue of thumb,1
288980016,Malignant neoplasm of connective and soft tissue of toe,1
289007013,"Malignant neoplasm of connective and soft tissue, site NOS",1
288968012,"Malignant neoplasm of connective and soft tissue, upper arm",1
289317013,Malignant neoplasm of connective tissue of orbit,1
726561000006114,Malignant neoplasm of cornea,1
289188015,Malignant neoplasm of cornu of corpus uteri,1
289361017,Malignant neoplasm of corpus callosum,1
289339010,Malignant neoplasm of corpus striatum,1
289192010,Malignant neoplasm of corpus uteri NOS,1
289187013,"Malignant neoplasm of corpus uteri, excluding isthmus",1
288894019,Malignant neoplasm of costal cartilage,1
726631000006118,Malignant neoplasm of costo-vertebral joint,1
726641000006111,Malignant neoplasm of cranial nerves,1
289374011,Malignant neoplasm of cranial nerves NOS,1
289409016,Malignant neoplasm of craniopharyngeal duct,1
288800018,Malignant neoplasm of cricoid cartilage,1
289314018,Malignant neoplasm of crystalline lens,1
155206014,Malignant neoplasm of cuboid,1
288801019,Malignant neoplasm of cuneiform cartilage,1
155207017,Malignant neoplasm of cystic duct,1
174562015,Malignant neoplasm of descended testis,1
473991000000119,Malignant neoplasm of descended testis NOS,1
725951000006112,Malignant neoplasm of descending colon,1
155209019,Malignant neoplasm of diaphragm,1
403673017,Malignant neoplasm of digestive organs and peritoneum,1
288766019,Malignant neoplasm of digestive tract and peritoneum NOS,1
289267015,Malignant neoplasm of dome of urinary bladder,1
155211011,Malignant neoplasm of dorsal surface of tongue,1
288418013,Malignant neoplasm of dorsum of tongue NOS,1
726021000006110,Malignant neoplasm of duodenum,1
288734012,Malignant neoplasm of ectopic pancreatic tissue,1
289149017,Malignant neoplasm of ectopic site of female breast,1
289158012,Malignant neoplasm of ectopic site of male breast,1
289224011,Malignant neoplasm of ectopic testis,1
726071000006111,Malignant neoplasm of endocardium,1
289171010,Malignant neoplasm of endocervical canal,1
289172015,Malignant neoplasm of endocervical gland,1
155218017,Malignant neoplasm of endocervix,1
289173013,Malignant neoplasm of endocervix NOS,1
980021000006113,Malignant neoplasm of endometrium,1
289190019,Malignant neoplasm of endometrium of corpus uteri,1
155222010,Malignant neoplasm of epicardium,1
726141000006116,Malignant neoplasm of epididymis,1
451428019,Malignant neoplasm of epiglottis NOS,1
288507011,"Malignant neoplasm of epiglottis, free border",1
155228014,Malignant neoplasm of ethmoid bone,1
1228553019,Malignant neoplasm of ethmoid sinus,1
155231010,Malignant neoplasm of exocervix,1
726201000006111,Malignant neoplasm of extrahepatic bile ducts,1
288712010,Malignant neoplasm of extrahepatic bile ducts NOS,1
289318015,Malignant neoplasm of extraocular muscle of orbit,1
1208876015,Malignant neoplasm of eye,1
289330014,Malignant neoplasm of eye NOS,1
289316016,Malignant neoplasm of eyeball NOS,1
726261000006112,Malignant neoplasm of eyelid including canthus,1
726271000006117,Malignant neoplasm of fallopian tube,1
288485015,Malignant neoplasm of faucial pillar,1
1228530015,Malignant neoplasm of faucial tonsil,1
1210642019,Malignant neoplasm of female breast,1
289151018,Malignant neoplasm of female breast NOS,1
289219013,Malignant neoplasm of female genital organ NOS,1
155246015,Malignant neoplasm of femur,1
155247012,Malignant neoplasm of fibula,1
288921019,Malignant neoplasm of fifth metacarpal bone,1
288951013,Malignant neoplasm of fifth metatarsal bone,1
288917014,Malignant neoplasm of first metacarpal bone,1
288947011,Malignant neoplasm of first metatarsal bone,1
288412014,Malignant neoplasm of fixed part of tongue NOS,1
289451011,Malignant neoplasm of flank NOS,1
289353010,Malignant neoplasm of floor of cerebral ventricle,1
725611000006117,Malignant neoplasm of floor of mouth,1
288449015,Malignant neoplasm of floor of mouth NOS,1
288554010,Malignant neoplasm of floor of nasopharynx,1
288920018,Malignant neoplasm of fourth metacarpal bone,1
288950014,Malignant neoplasm of fourth metatarsal bone,1
288427014,Malignant neoplasm of frenulum linguae,1
155259011,Malignant neoplasm of frontal bone,1
